Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Ford,f-150,16000,2018,67772,automatic,pickup,like new,6,gas,Unknown,clean,https://miami.craigslist.org/mdc/cto/d/miami-ford-f150-stx-4x4-2018/7833510653.html
Kia,sportage,1000,2009,88585,automatic,SUV,fair,6,gas,Unknown,clean,https://miami.craigslist.org/pbc/cto/d/west-palm-beach-2009-kia-sportage-88k/7833504072.html
Nissan,altima,6000,2015,100000,automatic,sedan,like new,4,gas,Unknown,rebuilt,https://miami.craigslist.org/mdc/cto/d/miami-nissan-altima-2015-for-sale/7833500390.html
Volkswagen,Tiguan w/ Auto,12000,2015,82000,automatic,SUV,Unknown,4,gas,WVGAV7AX1FW615863,clean,https://miami.craigslist.org/mdc/cto/d/miami-volkswagen-tiguan-2015/7833480872.html
Alfa Romeo,giulia,18900,2020,17000,automatic,sedan,excellent,4,gas,Unknown,salvage,https://miami.craigslist.org/mdc/cto/d/homestead-2020-alfa-romeo-giulia-q4/7833476572.html
Chrysler,300 300c,3700,2005,139000,automatic,sedan,good,6,gas,Unknown,clean,https://miami.craigslist.org/pbc/cto/d/delray-beach-for-sale-2005-chrysler-300/7833468651.html
Chevrolet,Uplander APV Extended Wheelbase,12900,2006,57000,automatic,van,excellent,6,gas,1GBDV13126D211302,clean,https://miami.craigslist.org/mdc/cto/d/hialeah-2006-chevy-uplander/7833466493.html
Volvo,v70,1900,2004,145000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://miami.craigslist.org/mdc/cto/d/miami-2004-volvo-70/7833462613.html
Chevrolet,Uplander APV Extended Wheelbase,7900,1996,190000,automatic,truck,good,8,gas,Unknown,clean,https://miami.craigslist.org/mdc/cto/d/hialeah-96-chevy-ext-cab-dually-alcoa/7833459782.html
Ford,f-150,18500,2015,51000,automatic,van,Unknown,Unknown,gas,Unknown,rebuilt,https://miami.craigslist.org/brw/cto/d/coral-springs-2015-ford-transit-150/7833456510.html
Hyundai,sonata,4000,2014,105300,automatic,sedan,good,4,gas,Unknown,rebuilt,https://miami.craigslist.org/brw/cto/d/hollywood-2014-hyundai-sonata/7833453997.html
Lexus,rx350,4500,2010,133582,automatic,SUV,excellent,6,gas,Unknown,clean,https://miami.craigslist.org/brw/cto/d/hallandale-2010-lexus-rx350/7833452561.html
Infiniti,qx56,7200,2012,150000,automatic,SUV,excellent,8,gas,Unknown,clean,https://miami.craigslist.org/mdc/cto/d/hialeah-2012-infiniti-qx56/7833451539.html
Tesla,MODEL X,32900,2016,21064,automatic,Unknown,excellent,Unknown,electric,Unknown,clean,https://miami.craigslist.org/brw/cto/d/pompano-beach-2016-tesla-model-90d/7833446572.html
Ford,f-150,21000,2006,64000,automatic,pickup,like new,6,gas,Unknown,clean,https://miami.craigslist.org/brw/cto/d/fort-lauderdale-lifted-2006-ford-150/7833446390.html
Nissan,altima,3900,2008,219874,automatic,truck,like new,Unknown,gas,Unknown,clean,https://miami.craigslist.org/mdc/cto/d/hialeah-2008-nissan-titan/7833446318.html
