Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Ford,Focus BEV,4875,2013,82000,automatic,hatchback,like new,Unknown,electric,1FADP3R46DL319014,clean,https://atlanta.craigslist.org/sat/cto/d/norcross-2013-ford-focus-hatchback/7836378395.html
Toyota,land cruiser,11200,2000,242000,automatic,SUV,good,8,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/kennesaw-2000-toyota-land-cruiser/7836375703.html
Jeep,grand cherokee,4500,2005,155000,automatic,SUV,good,8,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/roswell-2005-grand-cherokee-laredo/7836375522.html
Ford,Focus BEV,4400,2012,189000,automatic,pickup,good,8,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/lawrenceville-2012-ford-f250-super-duty/7836367770.html
Nissan,Frontier,9500,2013,148000,automatic,pickup,excellent,4,gas,1N6BD0CT8DN744275,clean,https://atlanta.craigslist.org/nat/cto/d/lawrenceville-very-well-kept-2013/7836367502.html
Toyota,land cruiser,5000,2006,142000,automatic,sedan,good,4,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/dallas-2006-toyota-corolla-le/7836367338.html
Lexus,LS 430,7000,2005,218000,automatic,sedan,Unknown,8,gas,JTHBN36F655019135,clean,https://atlanta.craigslist.org/atl/cto/d/grayson-2005-lexus-ls-430/7836357408.html
Chevrolet,silverado 1500,8900,2012,216000,automatic,pickup,good,8,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/cumming-2012-chevrolet-silverado-1500/7836355967.html
Lexus,LS 430,2700,2001,253789,automatic,SUV,excellent,6,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/cumming-2001-lexus-rx-miles-price-is/7836355126.html
Gmc,sierra 1500,5500,2012,189000,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/griffin-2012-gmc-sierra-5500/7836354071.html
Ford,Focus BEV,2400,1997,221000,automatic,SUV,good,8,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/cumming-1997-ford-expedition-xlt/7836353188.html
Gmc,sierra 1500,6500,2001,180000,automatic,pickup,excellent,Unknown,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/duluth-2001-gmc-sierra-2500-series/7836347899.html
Nissan,Frontier,2250,2012,132000,automatic,sedan,good,Unknown,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/atlanta-2012-nissan-altima-with-some/7836345206.html
Dodge,Ram Light Duty 1500,8900,2011,147000,automatic,pickup,excellent,8,gas,1D7RB1CT5BS670623,clean,https://atlanta.craigslist.org/atl/cto/d/cumming-2011-dodge-ram-1500-big-horn/7836338380.html
Ford,Focus BEV,58999,2020,23850,automatic,van,like new,6,gas,1FTYE1Y8XLKB74381,clean,https://atlanta.craigslist.org/atl/cto/d/atlanta-2020-ford-transit-150/7836337881.html
Toyota,land cruiser,6000,2007,115000,automatic,SUV,excellent,6,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/atlanta-2007-toyota-highlander-115k-v6/7836336148.html
Chevrolet,silverado 1500,11500,2008,203000,automatic,SUV,good,8,gas,Unknown,clean,https://atlanta.craigslist.org/wat/cto/d/dallas-chevrolet-avalanche-z71/7836336000.html
Ford,Focus BEV,3200,1998,183996,automatic,pickup,excellent,8,gas,1FTZX17W0WKB43319,clean,https://atlanta.craigslist.org/sat/cto/d/newnan-1998-ford-f150-xl-special/7836315045.html
Genesis,g90,33250,2019,68000,automatic,sedan,excellent,6,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/roswell-genesis/7836314472.html
Honda,Pilot EX-L,5800,2015,113690,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://atlanta.craigslist.org/wat/cto/d/fairburn-2015-honda-pilot-ex/7836313005.html
Jeep,grand cherokee,11500,2012,97875,manual,SUV,good,6,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/duluth-2012-jeep-wrangler/7836310544.html
F150,king ranch 4x4,5500,2007,250000,automatic,pickup,good,8,gas,Unknown,clean,https://atlanta.craigslist.org/eat/cto/d/social-circle-ford-king-ranch-extended/7836308259.html
Infiniti,g37,8300,2009,123546,automatic,convertible,good,6,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/duluth-2009-infiniti-g37/7836307660.html
Toyota,land cruiser,800,2013,210000,automatic,sedan,fair,4,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/cumming-2013-toyota-camry-se-door-sedan/7836305334.html
Cadillac,DTS,1200,2007,159000,manual,sedan,good,8,diesel,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/buford-2007-cadillac-dts/7836304186.html
Ford,Focus BEV,1850,2001,200000,manual,pickup,good,6,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/mcdonough-2001-ford-ranger-4x4-door/7836302345.html
Ford,Focus BEV,3500,2005,123356,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/tucker-2005-ford-explorer-xlt/7836294464.html
Ford,Focus BEV,13500,2013,146000,automatic,pickup,Unknown,6,gas,Unknown,clean,https://atlanta.craigslist.org/eat/cto/d/lawrenceville-2013-ford-f150-fx4/7836292897.html
Bmw,330ci,2800,2004,155000,automatic,sedan,good,6,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/cumming-2004-bmw-330ci-2800-cash/7836292133.html
Mercedes,benz ml350,8500,2011,127000,automatic,SUV,excellent,6,gas,Unknown,clean,https://atlanta.craigslist.org/eat/cto/d/lawrenceville-2011-mercedes-benz-ml350/7836289925.html
Chevrolet,silverado 1500,6000,2017,140000,automatic,Unknown,Unknown,4,gas,Unknown,clean,https://atlanta.craigslist.org/eat/cto/d/winder-2017-chevrolet-equinox/7836289121.html
Bmw,330ci,7900,1998,50000,automatic,convertible,excellent,4,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/cumming-1998-bmw-z3-roadster-right-hand/7836288985.html
Toyota,land cruiser,8300,2014,208000,automatic,minivan,good,6,gas,Unknown,clean,https://atlanta.craigslist.org/atl/cto/d/cumming-2014-toyota-sienna-xle-8300-cash/7836288832.html
Dodge,Ram Light Duty 1500,17700,2020,152000,automatic,pickup,like new,6,gas,Unknown,clean,https://atlanta.craigslist.org/eat/cto/d/lawrenceville-2020-ram-big-horn/7836288637.html
Ford,Focus BEV,11900,2003,194000,automatic,truck,good,8,diesel,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/dawsonville-2003-f350-superduty/7836287442.html
Jeep,grand cherokee,17900,2008,126000,automatic,SUV,excellent,6,gas,Unknown,clean,https://atlanta.craigslist.org/nat/cto/d/dawsonville-2008-jeep-rubicon/7836287193.html
