Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Nissan,juke sv,3900,2011,151000,automatic,Unknown,good,Unknown,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2011-nissan-juke-sv/7836464216.html
Lexus,rx 350,10500,2013,180949,automatic,SUV,excellent,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/liberty-hill-2013-lexus-rx350-perfect/7836463417.html
Subaru,crosstrek sport 2.5l awd,21999,2024,6900,automatic,SUV,good,4,gas,Unknown,rebuilt,https://austin.craigslist.org/cto/d/austin-2024-subaru-crosstrek-awd-6k/7836462506.html
Acura,tl type s,12900,2013,107894,automatic,sedan,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-sweet-2013-acura-tl/7836457851.html
Chevrolet,tahoe ls,4500,2003,175000,automatic,SUV,good,8,gas,Unknown,clean,https://austin.craigslist.org/cto/d/san-antonio-2003-chevrolet-tahoe/7836457167.html
Chevy,express 2500,8000,2010,300000,automatic,van,good,Unknown,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2010-chevy-express-2500-xl/7836454310.html
Toyota,camry se,9999,2015,185000,automatic,sedan,good,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2015-toyota-camry/7836454121.html
Toyota,camry se,14300,2013,130000,automatic,minivan,excellent,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/cedar-park-2013-toyota-sienna-limited/7836452158.html
Mazda,b2500 b3000 b4000,5200,1998,151000,manual,pickup,good,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-ford-ranger-mazda-b2500/7836450473.html
Honda,Accord LX,6000,2009,133000,automatic,sedan,good,4,gas,1HGCP26309A011255,clean,https://austin.craigslist.org/cto/d/kyle-09-honda-accord/7836448438.html
Honda,Accord LX,10999,2016,172000,automatic,SUV,good,4,gas,Unknown,rebuilt,https://austin.craigslist.org/cto/d/austin-2016-honda-cr/7836446209.html
Honda,Accord LX,5800,2009,143000,automatic,sedan,like new,Unknown,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2009-honda-accord/7836442859.html
Ford,mustang,18500,2011,99000,manual,coupe,excellent,8,gas,Unknown,clean,https://austin.craigslist.org/cto/d/round-rock-2012-twin-turbo-mustang-gt/7836441563.html
Ram,1500,11500,2014,216000,automatic,pickup,excellent,6,diesel,Unknown,clean,https://austin.craigslist.org/cto/d/round-rock-2014-dodge-ram-lonestar-x4/7836440566.html
Ram,1500,7500,2013,170000,automatic,pickup,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/leander-2013-ram-1500-single-cab/7836439627.html
Honda,Accord LX,8999,2013,207000,automatic,sedan,good,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2013-honda-accord/7836436884.html
Ford,mustang,10000,2016,160000,automatic,pickup,good,8,gas,Unknown,clean,https://austin.craigslist.org/cto/d/leander-2016-ford-150-regular-cab-v8/7836434535.html
Nissan,juke sv,14999,2018,45755,automatic,SUV,like new,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-price-cut-2018-nissan-rogue/7836430575.html
Subaru,crosstrek sport 2.5l awd,4000,2010,115520,automatic,SUV,fair,4,gas,JF2SH6BC9AH781617,clean,https://austin.craigslist.org/cto/d/austin-2010-subaru-forester-25xs/7836430552.html
Toyota,camry se,2200,1998,232000,automatic,sedan,good,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-1998-toyota-camry-le/7836428173.html
Kia,Forte LX,6500,2018,105000,automatic,sedan,good,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/leander-2018-kia-forte-lx-sedan-105k/7836426200.html
Hyudai,sonata,9000,2014,129000,automatic,sedan,like new,4,hybrid,Unknown,clean,https://austin.craigslist.org/cto/d/manor-hyundai-sonata-hybrid/7836424548.html
Jeep,wrangler,7800,1998,90500,manual,SUV,good,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/llano-1998-jeep-wrangler/7836423348.html
Ford,mustang,6100,1992,86315,automatic,pickup,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-1992-ford-ranger/7836418834.html
Chevy,express 2500,10500,1992,227000,automatic,truck,good,8,gas,Unknown,clean,https://austin.craigslist.org/cto/d/hutto-1992-chevy-silverado-k1500-4x4/7836410009.html
Infiniti,qx50,12999,2017,90000,automatic,SUV,good,6,gas,Unknown,rebuilt,https://austin.craigslist.org/cto/d/austin-2017-infiniti-qx50-90k-miles/7836409048.html
Mazda,b2500 b3000 b4000,4700,2010,123000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://austin.craigslist.org/cto/d/cedar-park-2010-mazda-cx7/7836405776.html
Chevrolet,tahoe ls,6500,2003,175000,automatic,SUV,excellent,8,gas,Unknown,clean,https://austin.craigslist.org/cto/d/san-antonio-2003-chevrolet-tahoe-2002/7836403682.html
Toyota,camry se,9600,2012,169000,automatic,SUV,good,4,gas,Unknown,rebuilt,https://austin.craigslist.org/cto/d/austin-2012-toyota-rav4-awd/7836401865.html
Nissan,juke sv,6900,2018,126551,automatic,sedan,good,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2018-nissan-sentra/7836397069.html
Infiniti,qx50,7500,2008,91000,automatic,SUV,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2008-infiniti-ex35/7836394101.html
Honda,Accord LX,6950,2012,181000,automatic,minivan,Unknown,Unknown,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2012-honda-odyssey-ex/7836393451.html
Kia,Forte LX,3800,2005,164000,automatic,SUV,Unknown,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2005-kia-sorento/7836391282.html
Mercury,grand marquis,4950,2004,170000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://austin.craigslist.org/cto/d/pflugerville-2004-mercury-grand-marquis/7836390169.html
Honda,Accord LX,4500,1999,200000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://austin.craigslist.org/cto/d/pflugerville-1999-honda-crv-one-owner/7836387287.html
Honda,Accord LX,4900,2001,260000,automatic,sedan,fair,4,gas,Unknown,rebuilt,https://austin.craigslist.org/cto/d/austin-2001-honda-civic-high-miles-260k/7836376827.html
Toyota,camry se,14999,2011,220000,automatic,pickup,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2011-toyota-tacoma/7836364238.html
Buick,lesabre custom,2750,2004,237000,automatic,sedan,excellent,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/elgin-2004-buick-lesabre-custom/7836363061.html
Honda,Accord LX,6990,2009,150000,automatic,hatchback,excellent,4,gas,Unknown,clean,https://austin.craigslist.org/cto/d/austin-2009-accord-ex-25-liter-miles/7836360962.html
Bmw,m3 m4 m5 e30 e24 e28 e31 e34 e38 e46,20000,2007,150000,manual,coupe,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/round-rock-e36-m3-bmw-manual/7836355080.html
Bmw,m3 m4 m5 e30 e24 e28 e31 e34 e38 e46,12999,1999,138000,automatic,coupe,good,6,gas,Unknown,clean,https://austin.craigslist.org/cto/d/round-rock-bmw-e36-m3-e46-e39-e30-e24/7836354784.html
