Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Ford,f150 svt raptor,21000,2011,113223,automatic,pickup,like new,8,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/reynoldsburg-2011-ford-f150-svt-raptor/7837802604.html
Cadillac,escalade ext awd,10550,2011,197000,automatic,truck,excellent,8,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-cadillac-escalade-ext-premium/7837801744.html
Dodge,charger,2500,2008,183801,automatic,sedan,fair,6,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-2008-dodge-charger/7837793495.html
Gmc,savana 3500 cutaway,16900,2018,125600,automatic,truck,like new,8,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-2018-box-truck-gmc-savana-16/7837789651.html
Ford,f150 svt raptor,3000,1994,98000,automatic,Unknown,good,8,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-1994-crown-victoria/7837784473.html
Jeep,wrangler unlimited sahara 4x4,18250,2013,98000,automatic,Unknown,excellent,6,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/dublin-2013-jeep-sahara-unlimited/7837770669.html
Tesla,Model X Long Range,21500,2020,56000,automatic,Unknown,Unknown,Unknown,electric,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-2020-tesla-model-long-range/7837769569.html
Hyundai,sonata limited,4200,2008,153000,automatic,sedan,like new,6,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-08-hyundai-sonata-limited-like/7837747691.html
Muni,COOPER,4700,2009,90500,automatic,coupe,excellent,4,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/hilliard-mini-cooper/7837744781.html
Toyota,Prius 5 Hybrid,5989,2012,200000,automatic,hatchback,excellent,4,hybrid,JTDKN3DU4C0334092,clean,https://columbus.craigslist.org/cto/d/columbus-2012-toyota-prius-hybrid/7837735260.html
Jeep,wrangler unlimited sahara 4x4,3000,2003,166565,automatic,SUV,good,6,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-2003-jeep-liberty-wd/7837731548.html
Subaru,wrx,8500,2009,105000,manual,sedan,excellent,4,gas,Unknown,rebuilt,https://columbus.craigslist.org/cto/d/dublin-2009-subaru-wrx/7837728473.html
Chevrolet,silverado 1500,10500,2009,119439,automatic,pickup,good,Unknown,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/lancaster-2009-chevrolet-silverado/7837727400.html
Kia,sorento,11000,2016,70837,automatic,SUV,good,Unknown,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/lancaster-2016-kia-sorento-lx/7837725927.html
Chevrolet,silverado 1500,4200,2012,187000,automatic,sedan,excellent,6,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-2012-chevrolet-impala-ltz-for/7837718542.html
Kia,sorento,3900,2012,151166,automatic,sedan,good,4,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-2012-kia-forte-ex/7837708210.html
Chevy,equinox,5295,2015,134500,automatic,SUV,excellent,Unknown,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/galena-2015-chevrolet-equinox/7837706143.html
Ford,f150 svt raptor,5200,2014,112385,automatic,sedan,fair,4,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/powell-2014-ford-fusion-se/7837685458.html
Jeep,wrangler unlimited sahara 4x4,14500,2012,113532,automatic,SUV,good,6,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/granville-2012-jeep-wrangler/7837669470.html
Dodge,charger,29500,2018,104200,automatic,sedan,excellent,8,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-2018-dodge-charger-awd-super/7837636043.html
Land,rover range rover,240000,2017,110000,automatic,SUV,like new,6,diesel,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-range-rover/7837610041.html
Jeep,wrangler unlimited sahara 4x4,4500,2017,127000,automatic,SUV,excellent,6,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-2008-jeep-commander/7837606311.html
Ford,f150 svt raptor,3200,2012,200000,automatic,sedan,good,4,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-2012-ford-fusion/7837605726.html
Honda,Accord EX,1825,2006,285000,automatic,sedan,fair,6,gas,1HGCM66586A061446,clean,https://columbus.craigslist.org/cto/d/columbus-honda-accord-ex-v6-engine/7837589218.html
Chevrolet,silverado 1500,18500,2014,148000,automatic,other,good,8,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/plain-city-2014-chevrolet-express-3500/7837581470.html
Vw,Beetle Convertible,8000,2014,106321,automatic,convertible,excellent,5,gas,Unknown,rebuilt,https://columbus.craigslist.org/cto/d/canal-winchester-vw-beetle-convertible/7837549111.html
Lincoln,mark 3,5500,1971,23456,automatic,Unknown,fair,8,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/newark-1971-lincoln-mark/7837537603.html
Lincoln,mark 3,4000,2010,125550,automatic,sedan,good,6,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/westerville-2010-lincoln-mkz/7837536167.html
Mini,Hardtop,16000,2017,42725,automatic,hatchback,excellent,4,gas,WMWXP7C31H2A45845,clean,https://columbus.craigslist.org/cto/d/westerville-2017-mini-cooper/7837511948.html
Lexus,LS460,8900,2007,144472,automatic,sedan,excellent,8,gas,JTHBL46FX75018200,clean,https://columbus.craigslist.org/cto/d/grove-city-2007-lexus-ls430/7837509732.html
Toyota,Prius 5 Hybrid,20000,2014,125000,automatic,pickup,excellent,8,gas,5TFSY5F19EX161623,clean,https://columbus.craigslist.org/cto/d/westerville-toyota-tundra-limited-2014/7837505405.html
Toyota,Prius 5 Hybrid,4500,2009,184000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/columbus-2009-toyota-camry-le/7837501670.html
Chevrolet,silverado 1500,1800,2000,192000,automatic,pickup,fair,6,gas,Unknown,clean,https://columbus.craigslist.org/cto/d/north-lewisburg-2000-s10-pickup/7837500808.html
