Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Toyota,Camry,2500,2005,250,automatic,sedan,good,4,gas,Unknown,clean,https://dallas.craigslist.org/ftw/cto/d/fort-worth-2005-toyota-camry-for-sale/7836359948.html
Bmw,320i,4600,1982,200000,manual,coupe,fair,4,gas,Unknown,clean,https://dallas.craigslist.org/ndf/cto/d/garland-1982-bmw-320i-speed-needs-work/7836359209.html
Saturn,vue,2995,2007,203000,automatic,SUV,good,6,gas,Unknown,clean,https://dallas.craigslist.org/ftw/cto/d/fort-worth-2007-saturn-vue/7836358962.html
Mercedes-Benz,c-class,4500,2003,180763,automatic,sedan,excellent,6,gas,Unknown,clean,https://dallas.craigslist.org/ndf/cto/d/prosper-mercedes/7836358481.html
Toyota,Camry,7150,1997,153000,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://dallas.craigslist.org/dal/cto/d/plano-1997-toyota-tacoma/7836357582.html
Toyota,Camry,3500,2007,131000,automatic,Unknown,Unknown,4,gas,Unknown,clean,https://dallas.craigslist.org/ndf/cto/d/plano-2007-toyota-camry/7836357032.html
Chevy,tahoe,4700,2008,180000,automatic,SUV,Unknown,Unknown,hybrid,Unknown,clean,https://dallas.craigslist.org/dal/cto/d/irving-2008-chevy-tahoe/7836354508.html
Honda,CR-V EX,5650,2008,202000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://dallas.craigslist.org/dal/cto/d/plano-2008-honda-cr-ex/7836350057.html
Chevrolet,silverado 1500,3500,2000,200796,automatic,pickup,good,Unknown,gas,Unknown,rebuilt,https://dallas.craigslist.org/ftw/cto/d/fort-worth-2000-chevy-silverado/7836349269.html
Chrysler,sebring,4000,2008,114000,automatic,convertible,good,4,gas,1C3LC45K08N196899,clean,https://dallas.craigslist.org/dal/cto/d/plano-2008-chrysler-sebring-convertible/7836349101.html
Sport,Track Ranger,2650,2004,270000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://dallas.craigslist.org/dal/cto/d/frisco-2004-ford-sport-track-ranger/7836345286.html
Chevy,tahoe,5200,2014,129431,automatic,sedan,excellent,4,gas,Unknown,clean,https://dallas.craigslist.org/mdf/cto/d/arlington-2014-chevy-malibu-ls/7836343205.html
Chevrolet,silverado 1500,1,2011,46000,automatic,pickup,like new,8,gas,3GCPKSE38BG324139,clean,https://dallas.craigslist.org/ftw/cto/d/huntsville-2011-chevy-1500-crew-cab-4x4/7836342943.html
Gmc,yukon xl,11900,2016,206000,automatic,SUV,excellent,8,gas,Unknown,clean,https://dallas.craigslist.org/dal/cto/d/frisco-2016-gmc-yukon-xl-want-to-sell/7836340601.html
Kia,optima lx,8400,2017,115000,automatic,sedan,excellent,4,gas,Unknown,clean,https://dallas.craigslist.org/dal/cto/d/dallas-2017-kia-optima/7836339147.html
Chevrolet,silverado 1500,2800,2006,190000,automatic,sedan,excellent,Unknown,gas,Unknown,clean,https://dallas.craigslist.org/dal/cto/d/dallas-2006-chevrolet-impala-runs-great/7836337195.html
Toyota,Camry,9500,2004,140070,automatic,pickup,excellent,4,gas,Unknown,clean,https://dallas.craigslist.org/mdf/cto/d/euless-2004-toyota-tacoma-140k-miles/7836336703.html
Hyundai,Elantra,5999,2013,156735,automatic,sedan,excellent,4,gas,5NPDH4AE2DH408908,clean,https://dallas.craigslist.org/mdf/cto/d/irving-2013-hyundai-elantra/7836336662.html
Infiniti,g35,6400,2008,149000,automatic,sedan,excellent,6,gas,Unknown,clean,https://dallas.craigslist.org/dal/cto/d/dallas-infiniti-g35-awd/7836336534.html
Toyota,Camry,7490,2015,207340,automatic,hatchback,good,4,hybrid,Unknown,clean,https://dallas.craigslist.org/dal/cto/d/dallas-2015-toyota-prius-four-clean/7836335886.html
Chevrolet,silverado 1500,6500,2008,220000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://dallas.craigslist.org/dal/cto/d/duncanville-2008-chevrolet-suburban/7836335018.html
Nissan,versa sv,14800,2024,13972,automatic,sedan,excellent,Unknown,gas,Unknown,clean,https://dallas.craigslist.org/ftw/cto/d/fort-worth-2024-nissan-versa-sv-miles/7836334480.html
