Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Pontiac,fiero,2100,1985,236000,manual,coupe,fair,6,gas,Unknown,clean,https://denver.craigslist.org/cto/d/dupont-1985-pontiac-fiero-2m6/7836458387.html
Jeep,grand cherokee limited 4x4,2900,2004,191000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://denver.craigslist.org/cto/d/wheat-ridge-2004-jeep-grand-cherokee-4x4/7836456479.html
Chevy,express 2500 cargo van,16500,2013,100000,automatic,van,excellent,8,gas,Unknown,clean,https://denver.craigslist.org/cto/d/denver-2013-chevy-express-2500-cargo/7836451785.html
Honda,accord,3000,2004,250000,automatic,sedan,good,Unknown,gas,Unknown,clean,https://denver.craigslist.org/cto/d/henderson-2004-honda-accord-tech-4cyl/7836450646.html
Chrysler,PT Cruiser Classic,3700,2005,89237,manual,Unknown,excellent,4,gas,3C4FY48B35T609108,clean,https://denver.craigslist.org/cto/d/denver-2005-chrysler-pt-cruiser-one/7836448877.html
Ford,escape sel 4wd,6000,2013,125000,automatic,SUV,excellent,4,gas,Unknown,clean,https://denver.craigslist.org/cto/d/denver-2013-ford-escape-sel-4x4/7836446292.html
Nissan,maxima 3.5 sv,4850,2012,140000,automatic,sedan,good,6,gas,Unknown,clean,https://denver.craigslist.org/cto/d/denver-2010-nissan-maxima/7836445888.html
Mercedes-Benz,clk320,6000,2000,92000,automatic,convertible,excellent,6,gas,Unknown,clean,https://denver.craigslist.org/cto/d/littleton-2000-mercedes-benz-clk-320/7836437195.html
Nissan,maxima 3.5 sv,3500,2006,219878,automatic,truck,salvage,6,gas,Unknown,salvage,https://denver.craigslist.org/cto/d/denver-nissan-frontier-4x4-2006/7836436474.html
Toyota,Corolla LE 4Dr Sedan,5000,2003,81689,automatic,sedan,good,4,gas,Unknown,clean,https://denver.craigslist.org/cto/d/log-lane-village-2003-toyota-corolla-le/7836434673.html
Jeep,grand cherokee limited 4x4,6500,2017,88000,automatic,SUV,excellent,4,gas,Unknown,clean,https://denver.craigslist.org/cto/d/aurora-2017-jeep-patriot-4x4/7836429916.html
Hyundai,santa fe gls,4400,2008,166100,automatic,SUV,Unknown,6,gas,5NMSG13D38H218521,clean,https://denver.craigslist.org/cto/d/aurora-santa-fe-2008/7836428103.html
Ford,escape sel 4wd,10000,2010,160000,automatic,pickup,excellent,Unknown,gas,Unknown,clean,https://denver.craigslist.org/cto/d/westminster-truck-f350-super-duty/7836427502.html
Chevrolet,silverado 1500,10800,2011,123000,automatic,truck,excellent,8,gas,Unknown,clean,https://denver.craigslist.org/cto/d/parker-2011-chevrolet-silverado-1500/7836422974.html
Ford,escape sel 4wd,19999,2014,95000,automatic,van,like new,Unknown,gas,Unknown,clean,https://denver.craigslist.org/cto/d/denver-2014-ford-econoline-rv-solar/7836422063.html
Chevy,express 2500 cargo van,2500,2006,160,automatic,coupe,fair,8,gas,Unknown,missing,https://denver.craigslist.org/cto/d/aurora-monte-carlo-ss/7836421738.html
Subaru,Outback,6400,2012,138000,automatic,wagon,like new,4,gas,Unknown,clean,https://denver.craigslist.org/cto/d/denver-2012-subaru-outback-25-4wd/7836420922.html
Toyota,Corolla LE 4Dr Sedan,25000,2012,65000,automatic,truck,excellent,4,gas,Unknown,clean,https://denver.craigslist.org/cto/d/arvada-2012-toyota-tacoma/7836418306.html
Pontiac,fiero,5200,2007,121000,automatic,sedan,excellent,6,gas,2G2WR554071229614,clean,https://denver.craigslist.org/cto/d/denver-2007-pontiac-grand-prix-gt-door/7836417445.html
Subaru,Outback,4700,2012,120000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://denver.craigslist.org/cto/d/commerce-city-subaru-outback/7836416598.html
Ford,escape sel 4wd,10000,2007,47000,manual,coupe,like new,6,gas,1ZVFT80NX75289135,clean,https://denver.craigslist.org/cto/d/denver-07-mustang-manual-very-low/7836414475.html
Mercury,mariner hybrid,3200,2006,182000,automatic,SUV,good,4,hybrid,Unknown,clean,https://denver.craigslist.org/cto/d/parker-2006-mercury-mariner-hybrid/7836411423.html
