Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Freightliner,cascadia,31500,2017,525787,automatic,truck,excellent,Unknown,diesel,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/novi-2017-freightliner-cascadia/7836466726.html
Ford,Unknown,3000,2008,230,automatic,van,Unknown,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/okl/cto/d/davisburg-2008-ford-v8/7836463655.html
Ford,Unknown,9000,2016,186000,automatic,van,Unknown,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/canton-ford-e250-transit-cargo-vans/7836460282.html
Jeep,grand cherokee,17900,2021,43000,automatic,SUV,Unknown,Unknown,gas,Unknown,rebuilt,https://detroit.craigslist.org/mcb/cto/d/sterling-heights-2021-jeep-grand/7836458788.html
Ford,Unknown,3000,2012,183780,automatic,hatchback,excellent,4,gas,Unknown,clean,https://detroit.craigslist.org/okl/cto/d/milford-2012-ford-focus/7836457317.html
Gmc,savana 2500 cargo,9800,2016,127000,automatic,van,Unknown,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/garden-city-2016-gmc-2500hd-cargo-van/7836456930.html
Bmw,335i,6500,2011,132000,automatic,sedan,excellent,6,gas,WBAPL5G5XBNN22920,clean,https://detroit.craigslist.org/okl/cto/d/troy-bmw-335i-xdrive-2011-in-excellent/7836450991.html
Ford,Unknown,8500,2012,239000,automatic,pickup,Unknown,8,diesel,1FT8X3BT9CEB72462,clean,https://detroit.craigslist.org/okl/cto/d/clarkston-2012-ford-f350-lariat-4x4/7836448328.html
Ford,Unknown,4200,2011,110000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/taylor-2011-ford-escape/7836446266.html
Ford,Unknown,4500,2014,110000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/taylor-2014-ford-fusion-low-miles/7836445227.html
Chrysler,concorde,3800,2002,120267,automatic,sedan,good,6,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/sterling-heights-2002-chrysler-concorde/7836441567.html
Honda,odyssey,2900,2007,180276,automatic,minivan,good,6,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/sterling-heights-2007-honda-odyssey/7836440749.html
Ford,Unknown,2650,1993,134000,automatic,van,good,6,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/taylor-93-ford-aerostar-xlt-extended-van/7836426951.html
Ford,Unknown,26000,2020,11000,automatic,pickup,like new,6,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/new-haven-2020-f150-xl/7836425905.html
Chevrolet,tahoe,10500,2007,160000,automatic,SUV,excellent,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/roseville-chevy-tahoe-2007/7836422308.html
Land,rover range rover sport,10800,2010,68000,automatic,SUV,excellent,8,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/sterling-heights-2010-land-rover-range/7836396320.html
Saab,9-7x,3800,2006,133000,automatic,SUV,good,6,gas,5S3ET13S762801340,clean,https://detroit.craigslist.org/mcb/cto/d/sterling-heights-2006-saab-7x/7836392630.html
Dodge,durango r/t,10500,2016,162000,automatic,SUV,Unknown,8,gas,Unknown,rebuilt,https://detroit.craigslist.org/wyn/cto/d/detroit-2016-dodge-durango-t-awd-fully/7836391111.html
Jeep,grand cherokee,2500,2002,209635,automatic,SUV,fair,6,gas,1J4FA49S02P700480,clean,https://detroit.craigslist.org/wyn/cto/d/highland-park-2002-jeep-wrangler-tj/7836390552.html
Ford,Unknown,3000,2008,200000,automatic,van,Unknown,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/rochester-2008-ford-e250-super-duty/7836386950.html
Subaru,Crosstrek,12500,2016,103467,automatic,SUV,excellent,4,gas,Unknown,clean,https://detroit.craigslist.org/okl/cto/d/rochester-2016-subaru-crosstrek-premium/7836386589.html
Cadillac,SRX Luxury,10500,2016,100725,automatic,SUV,like new,6,gas,3GYFNEE38GS510945,clean,https://detroit.craigslist.org/mcb/cto/d/southfield-cadillac-srx4-luxury-awd/7836385121.html
Bmw,335i,27000,2018,46000,automatic,sedan,excellent,6,gas,Unknown,clean,https://detroit.craigslist.org/okl/cto/d/northville-your-dream-bmw-sport-in/7836384320.html
Toyota,camry solara,5000,2006,142000,automatic,coupe,excellent,6,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/warren-2006-toyota-solara-no-rust/7836377588.html
Ford,Unknown,9500,2015,107500,automatic,van,good,4,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/macomb-ford-transit-xlt-2015/7836372721.html
Ford,Unknown,15780,2003,154201,automatic,pickup,good,8,diesel,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/lincoln-park-2003-f350-dually-diesel/7836356469.html
Honda,odyssey,1700,2006,306800,automatic,SUV,fair,4,gas,5J6YH28736L022729,clean,https://detroit.craigslist.org/okl/cto/d/south-lyon-2006-honda-element-ex-runs/7836337647.html
Chevy,malibu lt,5800,2007,60000,automatic,sedan,excellent,4,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/warren-2007-chevy-malibu-no-rust/7836333121.html
Mercedes,Benz 450SL,19500,1978,42000,automatic,convertible,like new,8,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/grosse-pointe-1978-mercedes-benz-450sl/7836330722.html
Dodge,durango r/t,1800,2013,158000,automatic,Unknown,good,4,gas,Unknown,clean,https://detroit.craigslist.org/okl/cto/d/commerce-township-2013-dodge-dart/7836327903.html
Pontiac,lemans,7500,1971,90000,automatic,coupe,good,8,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/trenton-1971-pontiac-lemans/7836325037.html
Chrysler,concorde,2500,2001,97000,automatic,SUV,excellent,4,gas,3C8FY4BB01T584038,clean,https://detroit.craigslist.org/wyn/cto/d/livonia-2001-chrysler-pt-cruiser-only/7836313619.html
Chevrolet,tahoe,8500,2022,130000,automatic,pickup,like new,6,hybrid,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/roseville-2022-chevy-colorado-85000/7836312555.html
Bmw,335i,9500,2005,92500,manual,convertible,excellent,6,gas,Unknown,clean,https://detroit.craigslist.org/okl/cto/d/oxford-bmw-z4-30i/7836312410.html
Ford,Unknown,10000,2012,123000,automatic,pickup,excellent,6,gas,Unknown,rebuilt,https://detroit.craigslist.org/wyn/cto/d/livonia-ford-2012-150-lariat-no/7836301416.html
Toyota,camry solara,7800,2010,94000,automatic,SUV,good,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/saint-clair-shores-2010-toyota-rav4-2wd/7836300427.html
Chevy,malibu lt,16500,2019,148570,automatic,van,excellent,6,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/dearborn-2019-chevy-express-van/7836297942.html
Ford,Unknown,5500,2010,178000,automatic,van,good,4,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/warren-2010-ford-transit-connect/7836296671.html
Ford,Unknown,5900,2017,81000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/harrison-township-2017-focus-ford-se/7836290260.html
Ford,Unknown,6500,2015,209000,automatic,van,Unknown,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/richmond-2015-ford-transit-cargo-van/7836287518.html
Chevrolet,tahoe,31000,2011,30900,automatic,convertible,excellent,8,gas,Unknown,clean,https://detroit.craigslist.org/okl/cto/d/troy-2011-corvette-gs/7836285286.html
Ram,1500,8000,2012,174000,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://detroit.craigslist.org/okl/cto/d/walled-lake-2012-dodge-ram-x4/7836284678.html
Lincoln,mkz,3450,2008,190000,automatic,sedan,excellent,6,gas,Unknown,clean,https://detroit.craigslist.org/okl/cto/d/farmington-2008-lincoln-mkz-clean/7836274584.html
Gmc,savana 2500 cargo,3000,2008,130000,automatic,SUV,excellent,6,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/grosse-pointe-dependable-durable-roomy/7836274146.html
Ford,Unknown,14500,2022,23000,automatic,SUV,like new,3,gas,Unknown,rebuilt,https://detroit.craigslist.org/wyn/cto/d/dearborn-heights-2022-ford-escape-sel/7836260559.html
Mitsubishi,Outlander,2600,2021,77138,automatic,SUV,fair,6,gas,JA4APUAU2MU027198,clean,https://detroit.craigslist.org/mcb/cto/d/clinton-township-2021-mitsubishi/7836224894.html
Ford,Unknown,7000,2011,28000,automatic,sedan,like new,4,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/utica-2011-ford-focus-ori-miles/7836216949.html
Gmc,savana 2500 cargo,3200,2008,130000,automatic,SUV,excellent,6,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/grosse-pointe-dependable-durable-roomy/7836210918.html
Chrysler,concorde,5900,2013,63000,automatic,Unknown,Unknown,Unknown,gas,Unknown,rebuilt,https://detroit.craigslist.org/mcb/cto/d/sterling-heights-2013-chrysler-200/7836207671.html
Gmc,savana 2500 cargo,8500,2007,165000,automatic,pickup,excellent,8,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/livonia-gmc-sierra-sle-crew-cab/7836200299.html
Chevrolet,tahoe,4950,2014,215000,automatic,Unknown,excellent,6,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/utica-2014-impala/7836181527.html
Ford,Unknown,8000,2014,106890,automatic,SUV,excellent,6,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/fraser-2014-ford-edge-limited-awd/7836178909.html
Dodge,durango r/t,7000,2009,111000,automatic,truck,salvage,8,gas,Unknown,salvage,https://detroit.craigslist.org/mcb/cto/d/warren-parts-truck/7836164521.html
Ford,Unknown,3800,2003,260000,automatic,truck,good,8,gas,Unknown,clean,https://detroit.craigslist.org/mcb/cto/d/eastpointe-2003-ford-f150-supercab-xlt/7836159709.html
Ford,Unknown,17000,2016,49000,automatic,SUV,excellent,6,gas,Unknown,clean,https://detroit.craigslist.org/wyn/cto/d/wyandotte-2016-ford-explorer-xlt/7836159178.html
