Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Excursion,Unknown,4500,2000,180000,automatic,SUV,good,10,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/la-puente-2000-ford-excursion-limited/7833501450.html
Dodge,D150,8500,1982,95000,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/tucson-reduced-1982-dodge-ram-custom/7833500589.html
Lexus,IS250,10500,2013,124861,automatic,sedan,excellent,6,gas,Unknown,salvage,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2013-lexus-is250-4d/7833500405.html
Bmw,z4 3.0si,10999,2008,77170,automatic,convertible,excellent,6,gas,4USBU53578LX04332,clean,https://losangeles.craigslist.org/sfv/cto/d/north-hollywood-car/7833500261.html
Kia,soul,4500,2013,91000,automatic,SUV,fair,Unknown,gas,Unknown,salvage,https://losangeles.craigslist.org/wst/cto/d/los-angeles-2013-kia-soul-90k-miles-obo/7833499978.html
Ford,mustang,5500,2024,1040,automatic,coupe,Unknown,Unknown,electric,Unknown,clean,https://losangeles.craigslist.org/wst/cto/d/los-angeles-take-over-payments-ford/7833499675.html
Chevy,master deluxe,26000,1940,63000,manual,coupe,good,6,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/cto/d/santa-clarita-1940-chevy-coupe-master/7833499278.html
Nissan,pathfinder,1600,2002,180000,automatic,SUV,excellent,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-nissan-pathfinder-road-ready/7833497399.html
Nissan,pathfinder,4000,2006,185000,automatic,pickup,excellent,8,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/burbank-nissan-titan-extra-cab-short/7833497174.html
Audi,A3,12900,2016,82500,automatic,hatchback,excellent,4,hybrid,WAUUPBFF6GA128684,clean,https://losangeles.craigslist.org/sfv/cto/d/sherman-oaks-2016-audi-a3-premium/7833497172.html
Toyota,camry xle,5200,2007,154000,automatic,wagon,excellent,6,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/cto/d/santa-clarita-for-sale/7833497017.html
Volkswagen,karmann ghia,18500,1963,4000,manual,Unknown,excellent,4,gas,Unknown,clean,https://losangeles.craigslist.org/wst/cto/d/los-angeles-1963-volkswagen-trade-for/7833496219.html
Volvo,xc90,1800,2007,116000,automatic,SUV,good,4,gas,Unknown,salvage,https://losangeles.craigslist.org/sfv/cto/d/van-nuys-2007-volvo-xc-90/7833495511.html
Ford,mustang,39999,2019,68692,automatic,truck,excellent,10,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/glendale-2019-350-sd-cutaway-drw-158/7833495244.html
Toyota,camry xle,39900,2021,56000,automatic,minivan,excellent,4,hybrid,5TDZRKECXMS026250,clean,https://losangeles.craigslist.org/wst/cto/d/santa-monica-toyota-sienna-limited-2021/7833493869.html
Nissan,pathfinder,8900,2015,75000,automatic,SUV,Unknown,6,gas,Unknown,salvage,https://losangeles.craigslist.org/sgv/cto/d/el-monte-nissan-pathfinder/7833493708.html
Hyundai,sonata,3000,2005,125000,automatic,sedan,fair,4,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/pomona-door-sedan-cylinder-hyundai/7833492187.html
Ford,mustang,4500,2012,139000,automatic,hatchback,good,4,gas,Unknown,clean,https://losangeles.craigslist.org/lgb/cto/d/long-beach-ford-focus-smooth/7833492176.html
Toyota,camry xle,6700,1995,158000,manual,Unknown,Unknown,4,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-1995-tacoma-x4-speed-6700/7833490742.html
Honda,accord,3300,2003,170000,automatic,Unknown,excellent,6,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/cto/d/la-crescenta-2003-honda-accord/7833490160.html
Audi,A3,12750,2014,126000,automatic,sedan,good,6,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/la-canada-flintridge-2014-audi-s4/7833489856.html
Toyota,camry xle,3500,2010,190000,automatic,sedan,Unknown,Unknown,gas,Unknown,salvage,https://losangeles.craigslist.org/sgv/cto/d/whittier-2010-toyota-camry-3500/7833487937.html
Freightliner,business class m2,19950,2018,318000,automatic,truck,excellent,Unknown,diesel,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2018-m2-freightliner/7833485329.html
Bmw,z4 3.0si,8500,2007,56000,automatic,convertible,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/rowland-heights-2007-bmw-335i-hardtop/7833484919.html
Dodge,D150,17000,2019,129000,automatic,van,excellent,6,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/glendale-dodge-ram-promaster-1500/7833484201.html
Honda,accord,6500,2013,193472,automatic,sedan,good,4,hybrid,Unknown,clean,https://losangeles.craigslist.org/sfv/cto/d/woodland-hills-2013-honda-civic-hybrid/7833482466.html
Toyota,camry xle,10985,2020,128000,automatic,sedan,like new,4,gas,5YFEPRAE3LP127738,clean,https://losangeles.craigslist.org/lac/cto/d/irvine-2020-toyota-corolla-silver/7833481723.html
Ford,mustang,4900,2007,300000,manual,pickup,good,Unknown,diesel,Unknown,clean,https://losangeles.craigslist.org/ant/cto/d/lancaster-power-stroke/7833481336.html
Bmw,z4 3.0si,25000,2005,111400,manual,Unknown,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/burbank-2005-bmw-m3/7833478954.html
Audi,A3,7500,2009,107000,automatic,coupe,excellent,6,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/rancho-cucamonga-audi-a5-quattro-32-lt/7833478757.html
Saturn,VUE AWD,4950,2003,134707,automatic,SUV,excellent,6,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/west-covina-saturn-vue-awd-low-miles/7833478456.html
Ford,mustang,2000,2005,197992,automatic,hatchback,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2005-ford-focus-zx-obo/7833477166.html
Isuzu,npr,4500,1990,170000,automatic,truck,Unknown,Unknown,diesel,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/rowland-heights-1990-isuzu-npr-diesel/7833476584.html
Ford,mustang,6900,2014,114732,automatic,hatchback,excellent,4,gas,Unknown,clean,https://losangeles.craigslist.org/ant/cto/d/lancaster-2014-ford-focus-se/7833476503.html
Toyota,camry xle,4300,2011,190000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2011-toyota-corolla-4300/7833473807.html
Honda,accord,3500,2005,170000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2005-honda-civic-miles-3500/7833473074.html
Toyota,camry xle,3000,2012,150000,automatic,hatchback,Unknown,Unknown,hybrid,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-wanted-toyota-prius-running/7833472489.html
Chevrolet,spark,7000,2021,47000,automatic,hatchback,excellent,4,gas,Unknown,clean,https://losangeles.craigslist.org/wst/cto/d/los-angeles-2021-chevrolet-spark/7833472170.html
Toyota,camry xle,4000,2010,258000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/lgb/cto/d/norwalk-2010-toyota-corolla/7833471123.html
Hond,Unknown,6800,2014,132000,automatic,sedan,excellent,4,gas,Unknown,salvage,https://losangeles.craigslist.org/lac/cto/d/downey-honda-civic-2014/7833470738.html
Bmw,z4 3.0si,14100,2004,85000,other,convertible,excellent,6,gas,WBSBR93424PK05407,clean,https://losangeles.craigslist.org/sfv/cto/d/woodland-hills-bmw-m3-convertible/7833469971.html
Ford,mustang,4200,2006,141000,automatic,truck,good,8,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/norwalk-ford-f150/7833469943.html
Nissan,pathfinder,5900,2018,90000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/cto/d/woodland-hills-2018-nissan-sentra/7833469824.html
Toyota,camry xle,12600,2017,57000,automatic,pickup,excellent,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2017-toyota-tacoma-4wd/7833469147.html
Mercedes,Benz E350,5950,2006,110000,automatic,coupe,excellent,6,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/west-covina-2006-mercedes-benz-owner/7833467573.html
Audi,A3,9500,2015,99500,automatic,SUV,excellent,4,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/pomona-2015-audi/7833467172.html
Acura,cl,2250,1999,140000,automatic,coupe,excellent,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/hawthorne-1999-acura-cl/7833467117.html
Chevy,master deluxe,350,2015,102000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/lac/cto/d/compton-cheap-car-rentals/7833465601.html
