Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Cadillac,COUPE DEVELOP CONVERTIBLE,9,1962,69800,other,convertible,fair,8,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-1962-cadillac-coupe-deville/7836458680.html
29,ford,12345678,1929,7500,automatic,convertible,good,8,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/longview-trade-only-1929-ford/7836455323.html
Ford,f350 super duty,32500,2006,138000,automatic,offroad,excellent,8,diesel,Unknown,clean,https://lasvegas.craigslist.org/cto/d/pahrump-2006-f350-king-ranch/7836454480.html
Honda,Civic EX,4900,2008,117000,automatic,coupe,good,4,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/north-las-vegas-2008-honda-civic-ex/7836453932.html
Ford,f350 super duty,5000,2003,59401,automatic,SUV,excellent,8,gas,1FMFU15L43LA77315,salvage,https://lasvegas.craigslist.org/cto/d/henderson-2003-ford-expedition/7836450834.html
Toyota,highlander,3600,2006,212000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2006-toyota-highlander/7836443969.html
Nissan,titan crew cab,7500,2008,213000,automatic,pickup,good,8,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2008-nissan-titan-long-bed/7836443595.html
Hyundai,Genesis Sedan 5.0,13500,2015,93000,automatic,sedan,excellent,8,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2015-hyundai-genesis-sedan-50/7836443351.html
Toyota,highlander,43000,2022,55000,automatic,truck,excellent,6,gas,5TFJA5AB5NX011833,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2022-toyota-tundra-door-55k/7836443327.html
Ford,f350 super duty,21900,2005,92000,automatic,truck,excellent,8,diesel,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-92k-mile-2005-350-lariat-4x4/7836442693.html
Ford,f350 super duty,15000,2012,137988,automatic,pickup,excellent,8,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/henderson-for-sale-by-owner/7836430589.html
Ford,f350 super duty,1750,2008,190000,automatic,Unknown,fair,8,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-ford-crown-victoria-police/7836425527.html
Audi,a6 premium plus,9500,2014,107000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2014-audi-a6-premium-plus/7836420008.html
Jeep,Renegade Freedom-JEEPSTER-SPORT-UPLAND,12999,2021,44000,automatic,SUV,good,4,gas,ZACNJCAB7MPM48706,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2021-jeep-renegade-jeepster/7836415576.html
Mercedes,benz s420,4500,1999,140000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-1999-mercedes-benz-s420/7836415254.html
Dodge,Journey SE,12000,2013,75000,automatic,SUV,like new,4,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/henderson-dodge-journey-2013-se/7836415240.html
Jeep,Renegade Freedom-JEEPSTER-SPORT-UPLAND,7500,2017,139000,automatic,SUV,excellent,4,gas,1C4PJMCB4HW596741,clean,https://lasvegas.craigslist.org/cto/d/north-las-vegas-2017-jeep-cherokee-4wd/7836409680.html
Chrysler,pt cruiser,1900,2005,200000,automatic,hatchback,Unknown,Unknown,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2005-chrysler-pt-cruiser/7836407369.html
Thor,Las Vegas,50000,2015,35000,automatic,Unknown,excellent,10,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2015-thor-vegas-241-motor-home/7836401783.html
Toyota,highlander,1000,2012,145000,automatic,hatchback,Unknown,4,hybrid,Unknown,rebuilt,https://lasvegas.craigslist.org/cto/d/las-vegas-2012-toyota-pruis/7836392818.html
Dodge,Journey SE,2900,2005,160000,automatic,van,excellent,6,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2005-dodge-grand-caravan-sxt/7836388257.html
Cadillac,COUPE DEVELOP CONVERTIBLE,2000,2006,145000,automatic,SUV,Unknown,6,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2006-cadillac-srx-sport/7836383473.html
Chrysler,pt cruiser,18400,2022,91561,automatic,sedan,excellent,6,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/henderson-chrysler-300-touring-2022/7836382166.html
Chevy,equinox,3800,2010,138000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2010-chevy-equinox/7836378239.html
Chevrolet,malibu lt,7500,2019,150000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2019-chevrolet-malibu-lt/7836376039.html
Chevrolet,malibu lt,48500,1953,100,automatic,pickup,like new,Unknown,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-1953-chevrolet-3100-pickup/7836374510.html
Honda,Civic EX,10000,2014,101994,automatic,SUV,excellent,4,gas,Unknown,rebuilt,https://lasvegas.craigslist.org/cto/d/las-vegas-2014-honda-crv/7836373866.html
Toyota,highlander,35000,2017,53700,automatic,Unknown,excellent,6,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/henderson-2017-tacoma-trd-off-road/7836372456.html
Hyundai,Genesis Sedan 5.0,6000,2013,149109,automatic,sedan,excellent,Unknown,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-hyundai-elantra/7836370786.html
Mini,countryman,9500,2013,103000,automatic,Unknown,like new,4,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-excellent-2013-mini-cooper/7836369985.html
International,4700,21500,1998,444444,automatic,truck,Unknown,Unknown,diesel,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-1998-international-4700-tow/7836361194.html
Porsche,targa,55000,1985,83030,manual,coupe,good,6,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-1985-porsche-911-carrera-targa/7836358153.html
Ford,f350 super duty,6000,2000,15000,automatic,minivan,excellent,8,gas,Unknown,clean,https://lasvegas.craigslist.org/cto/d/las-vegas-2000-ford-conversion-van-150k/7836356425.html
