Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Ford,EXPLORER XLT LIMITED,14900,2018,97000,automatic,SUV,excellent,6,gas,Unknown,clean,https://newyork.craigslist.org/que/cto/d/woodside-fully-loaded-2018-ford/7833505035.html
Chevrolet,silverado 1500,12900,2011,126335,automatic,pickup,like new,8,gas,Unknown,clean,https://newyork.craigslist.org/stn/cto/d/staten-island-2011-chevrolet-silverado/7833504485.html
Nissan,altima,21000,2023,18000,automatic,sedan,like new,4,gas,Unknown,clean,https://newyork.craigslist.org/wch/cto/d/yorktown-heights-2023-nissan-altima-sr/7833504188.html
Toyota,camry se,4800,2016,193797,automatic,sedan,good,6,gas,Unknown,clean,https://newyork.craigslist.org/stn/cto/d/staten-island-toyota-camry/7833498801.html
Dodge,challenger r/t,8500,2009,110000,manual,coupe,excellent,8,gas,Unknown,clean,https://newyork.craigslist.org/que/cto/d/forest-hills-2009-dodge-challenger-rt/7833496439.html
Honda,CR-V EX-L,7200,2009,127725,automatic,SUV,good,4,gas,5J6RE48719L008843,clean,https://newyork.craigslist.org/brx/cto/d/bronx-2009-honda-crv-ex/7833495150.html
Nissan,altima,3250,2006,818551,automatic,SUV,good,6,gas,Unknown,clean,https://newyork.craigslist.org/stn/cto/d/staten-island-nissan-pathfinder/7833487103.html
Mg,mgb,8500,1975,62307,manual,convertible,excellent,4,gas,GHN5UF376895G,clean,https://newyork.craigslist.org/lgi/cto/d/mount-sinai-mg-mgb/7833482508.html
Honda,CR-V EX-L,7800,2007,128000,manual,coupe,like new,4,gas,Unknown,clean,https://newyork.craigslist.org/stn/cto/d/staten-island-honda-accord-for-sale-by/7833481320.html
Honda,CR-V EX-L,1300,2007,128000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://newyork.craigslist.org/que/cto/d/new-york-2007-honda-pilot-lx/7833480519.html
Mercedes,benz c300,5450,2017,45000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://newyork.craigslist.org/brk/cto/d/brooklyn-2017-mercedes-benz-c300-4matic/7833478951.html
Nissan,altima,8499,2017,73097,automatic,sedan,like new,4,gas,Unknown,clean,https://newyork.craigslist.org/que/cto/d/corona-nissan-altima-sr-miles-very/7833478880.html
Bmw,x5,2900,2012,135000,automatic,SUV,Unknown,6,gas,Unknown,clean,https://newyork.craigslist.org/brk/cto/d/brooklyn-2012-bmw-x5-xdrive35i/7833477704.html
Chevrolet,silverado 1500,2500,2015,164000,automatic,SUV,Unknown,6,gas,1GNKVFKDXFJ240485,clean,https://newyork.craigslist.org/brk/cto/d/brooklyn-2015-chevrolet-traverse-ls-awd/7833475612.html
Honda,CR-V EX-L,8700,2014,147000,automatic,sedan,Unknown,4,gas,1HGCR2F74EA062698,clean,https://newyork.craigslist.org/brk/cto/d/brooklyn-2014-honda-accord-ex/7833474433.html
Ford,EXPLORER XLT LIMITED,9500,2015,130000,automatic,van,good,6,gas,1FTSW3XG7FKA01526,clean,https://newyork.craigslist.org/que/cto/d/flushing-selling-our-2015-ford-transit/7833472510.html
