Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Mini,cooper s,5000,2012,127000,manual,hatchback,excellent,4,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2012-mini-cooper/7836393671.html
Toyota,prius prime,15900,2018,33000,automatic,hatchback,excellent,4,hybrid,Unknown,rebuilt,https://philadelphia.craigslist.org/cto/d/philadelphia-2018-toyota-prius-prime/7836393254.html
Dodge,ram 2500,7500,2004,122000,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/claymont-2004-dodge-ram-2500-quad-cab/7836389930.html
Ford,edge sel,11000,2016,98000,automatic,SUV,excellent,4,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2016-ford-edge-sel-awd/7836387432.html
Chevy,Silverado 2500hd,10000,2015,178000,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/claymont-2015-chevy-silverado-2500hd/7836383696.html
Toyota,prius prime,7800,2011,136000,automatic,sedan,good,6,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2011-toyota-avalon-limited/7836383688.html
Ford,edge sel,1000,2006,218491,automatic,SUV,fair,8,gas,1FMFU18526LA01822,clean,https://philadelphia.craigslist.org/cto/d/mont-clare-2006-king-ranch/7836375534.html
Ford,edge sel,6000,2013,273981,automatic,van,excellent,8,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2013-ford-e250-superduty/7836373414.html
Volkswagen,Routan SE,1000,2010,220000,automatic,minivan,fair,6,gas,2V4RW3D17AR393051,clean,https://philadelphia.craigslist.org/cto/d/mont-clare-2010-vw-routan/7836372738.html
Honda,odyssey,2700,2008,222000,automatic,wagon,fair,6,gas,Unknown,rebuilt,https://philadelphia.craigslist.org/cto/d/philadelphia-mini-van-honda/7836367752.html
Toyota,prius prime,23000,2019,98000,automatic,truck,good,8,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/philadelphia-2019-toyota-tundra-sr5/7836365253.html
Chevy,Silverado 2500hd,2700,2014,146000,automatic,sedan,good,4,gas,Unknown,rebuilt,https://philadelphia.craigslist.org/cto/d/philadelphia-chevy-cruze/7836364094.html
Ford,edge sel,4700,2013,49000,automatic,hatchback,excellent,Unknown,electric,Unknown,clean,https://philadelphia.craigslist.org/cto/d/cherry-hill-2013-ford-focus/7836352946.html
Vw,passat,5700,2013,120000,automatic,sedan,excellent,Unknown,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/cherry-hill-2013-vw-passat/7836352372.html
Infiniti,g25 sedan,6500,2011,100000,automatic,sedan,excellent,4,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/lansdale-for-sale-2011-infiniti-g25x/7836349119.html
Gmc,sierra 1500,18500,2015,125000,automatic,pickup,like new,8,gas,Unknown,clean,https://philadelphia.craigslist.org/cto/d/downingtown-2015-gmc-sierra-4x4-regular/7836341167.html
