Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Jeep,wrangler,29750,2023,13000,automatic,SUV,Unknown,Unknown,hybrid,Unknown,salvage,https://phoenix.craigslist.org/cph/cto/d/phoenix-2023-jeep-wrangler-4xe/7836391698.html
Hyundai,Elantra,7500,2010,54352,automatic,sedan,like new,4,gas,KMHDU4AD2AU184233,rebuilt,https://phoenix.craigslist.org/wvl/cto/d/phoenix-2010-hyundai-elantra-54k/7836391397.html
Ford,Unknown,50000,1929,8800,automatic,Unknown,good,8,gas,Unknown,clean,https://phoenix.craigslist.org/nph/cto/d/phoenix-1929-ford-hot-rod/7836391303.html
Jeep,wrangler,6900,2010,129000,automatic,SUV,like new,6,gas,Unknown,clean,https://phoenix.craigslist.org/nph/cto/d/glendale-suv-truck-jeep-liberty-4x4/7836390570.html
Acura,TL SH-AWD Sport Tech Pkg,8500,2012,159000,automatic,sedan,excellent,6,gas,Unknown,clean,https://phoenix.craigslist.org/evl/cto/d/chandler-2012-acura-tl-sh-awdsporttech/7836390387.html
Honda,CR-V EX-L,6900,2012,204000,automatic,SUV,excellent,4,gas,5J6RM3H76CL038554,clean,https://phoenix.craigslist.org/wvl/cto/d/luke-air-force-base-2012-honda-crv-exl/7836389977.html
Ford,Unknown,8700,2016,150000,automatic,SUV,good,6,gas,Unknown,clean,https://phoenix.craigslist.org/nph/cto/d/payson-2016-ford-expedition-max-el-8700/7836389948.html
Jeep,wrangler,7500,2015,116800,automatic,SUV,excellent,Unknown,gas,Unknown,clean,https://phoenix.craigslist.org/evl/cto/d/scottsdale-2015-jeep-cherokee-latitude/7836389269.html
Toyota,camry,7700,2009,85000,automatic,sedan,good,4,gas,Unknown,clean,https://phoenix.craigslist.org/evl/cto/d/scottsdale-2009-toyota-camry-le-85k/7836388317.html
Ford,Unknown,22950,2014,52500,automatic,pickup,excellent,8,gas,1FTFW1EF9EKE84550,clean,https://phoenix.craigslist.org/evl/cto/d/chandler-2014-f150-4x4-truck-owner-53/7836388238.html
Ford,Unknown,28700,2022,122000,automatic,van,excellent,Unknown,gas,Unknown,clean,https://phoenix.craigslist.org/wvl/cto/d/phoenix-2022-ford-transit-350-xlt-12/7836387956.html
Toyota,camry,30600,2024,48000,automatic,sedan,like new,4,hybrid,Unknown,clean,https://phoenix.craigslist.org/evl/cto/d/chandler-2024-toyota-camry-hybrid-se/7836387070.html
Toyota,camry,8700,2007,257800,automatic,SUV,excellent,6,gas,Unknown,clean,https://phoenix.craigslist.org/wvl/cto/d/sun-city-2007-toyota-fj-cruiser-sport/7836386407.html
Ford,Unknown,8900,2016,138000,automatic,SUV,Unknown,6,gas,Unknown,clean,https://phoenix.craigslist.org/nph/cto/d/phoenix-2016-ford-explorer/7836386007.html
Hyundai,Elantra,5500,2017,133758,automatic,sedan,excellent,Unknown,gas,Unknown,clean,https://phoenix.craigslist.org/evl/cto/d/mesa-2017-hyundai-sonata/7836385210.html
Bmw,645ci convertible,6800,2005,89000,automatic,convertible,good,8,gas,Unknown,clean,https://phoenix.craigslist.org/evl/cto/d/mesa-bmw-645ci-convertible-black/7836384238.html
Dodge,Unknown,3500,1985,123456,automatic,pickup,good,8,gas,Unknown,clean,https://phoenix.craigslist.org/evl/cto/d/mesa-st-gen-dodge-power-ram-project/7836383680.html
Gmc,sierra 1500,39500,2023,4100,automatic,pickup,like new,Unknown,gas,3GTNHAEK7PG313244,clean,https://phoenix.craigslist.org/evl/cto/d/scottsdale-2023-gmc-sierra-1500-pro/7836383277.html
