Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Gmc,sierra 3500hd duramax truck,12800,2015,185000,automatic,pickup,Unknown,Unknown,diesel,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-2015-gmc-sierra-3500-duramax/7836383685.html
Toyota,prius,5400,2010,325000,automatic,hatchback,Unknown,Unknown,hybrid,Unknown,clean,https://portland.craigslist.org/clk/cto/d/vancouver-2010-toyota-prius/7836383517.html
Chevy,silverado 1500,100000000,2018,1,other,wagon,excellent,3,gas,Unknown,clean,https://portland.craigslist.org/wsc/cto/d/hillsboro-2005-cadillac-escalade-ext-74/7836382584.html
Subaru,forester xt,9700,2013,130200,automatic,SUV,excellent,4,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-2013-subaru-forester-25-xt/7836382425.html
Jaguar,xj vanden plas,2900,1996,194000,automatic,sedan,fair,6,gas,Unknown,clean,https://portland.craigslist.org/clc/cto/d/portland-96-jaguar-xj6/7836380381.html
Honda,Civic,5000,2013,182000,automatic,Unknown,like new,4,gas,Unknown,rebuilt,https://portland.craigslist.org/wsc/cto/d/beaverton-2013-honda-civic-looks-runs/7836374678.html
Ford,F250 extended cab,12900,2000,130233,automatic,pickup,excellent,8,diesel,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-2000-ford-ton-extended-cab/7836373537.html
Subaru,forester xt,8000,2015,162000,automatic,SUV,good,4,gas,Unknown,clean,https://portland.craigslist.org/wsc/cto/d/beaverton-2015-subaru-forester-premium/7836372701.html
Volkswagen,jetta,2900,2008,193000,automatic,sedan,good,Unknown,gas,Unknown,rebuilt,https://portland.craigslist.org/wsc/cto/d/hillsboro-2008-volkswagen-jetta/7836372543.html
Acura,mdx touring,2900,2003,235000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://portland.craigslist.org/wsc/cto/d/hillsboro-2003-acura-mdx-touring/7836372439.html
Ford,F250 extended cab,7000,1988,4200,automatic,hatchback,good,8,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-foxbody-mustang-1988/7836372253.html
Subaru,forester xt,4400,2013,173000,manual,hatchback,Unknown,Unknown,gas,Unknown,clean,https://portland.craigslist.org/clc/cto/d/beavercreek-2013-subaru-impreza-sport/7836371433.html
Audi,s4 s4 quattro prestige,17000,2011,132300,automatic,sedan,like new,6,gas,WAUKGAFL2BA148821,clean,https://portland.craigslist.org/clc/cto/d/oregon-city-2011-audi-s4-quattro/7836371053.html
Ford,F250 extended cab,12900,2006,65983,automatic,SUV,like new,8,gas,Unknown,clean,https://portland.craigslist.org/clc/cto/d/happy-valley-2006-ford-expedition-suv/7836370211.html
Ford,F250 extended cab,11900,2019,237000,automatic,van,new,6,gas,Unknown,clean,https://portland.craigslist.org/clc/cto/d/portland-2019-ford-transit-t150-cargo/7836368233.html
Ford,F250 extended cab,6500,1976,55234,automatic,pickup,good,8,gas,Unknown,clean,https://portland.craigslist.org/yam/cto/d/newberg-1976-ford-f250/7836366246.html
Ford,F250 extended cab,13900,2019,207000,automatic,van,new,6,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-2019-ford-transit-t250-cargo/7836365805.html
Bmw,x5 3.0i,2500,2003,175000,automatic,SUV,good,6,gas,Unknown,clean,https://portland.craigslist.org/clk/cto/d/vancouver-bmw-x5-black-on-black-fully/7836363899.html
Dodge,SUPER BEE,38500,1970,100000,manual,coupe,Unknown,Unknown,gas,Unknown,clean,https://portland.craigslist.org/clc/cto/d/albany-1970-super-bee-coupe/7836363576.html
Buick,riviera,7000,1969,142000,automatic,coupe,good,8,gas,Unknown,salvage,https://portland.craigslist.org/mlt/cto/d/portland-1969-buick-riviera-hardtop/7836363028.html
Jeep,Gladiator Sport,27000,2020,55000,automatic,pickup,excellent,6,gas,1C6HJTAG4LL158669,clean,https://portland.craigslist.org/mlt/cto/d/portland-2020-jeep-gladiator/7836361457.html
Jeep,Gladiator Sport,7500,2000,251000,automatic,SUV,Unknown,6,gas,Unknown,clean,https://portland.craigslist.org/clc/cto/d/woodburn-2000-jeep-cherokee-4x4/7836360727.html
Ford,F250 extended cab,19500,2007,190000,automatic,van,good,Unknown,diesel,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/vancouver-4x4-van/7836358894.html
Mercedes-Benz,c-class,3699,1995,145000,automatic,coupe,good,4,gas,Unknown,clean,https://portland.craigslist.org/clc/cto/d/beavercreek-1995-mercedes-benz-c220/7836356672.html
Jeep,Gladiator Sport,1950,2005,200000,automatic,SUV,fair,8,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/happy-valley-2005-jeep-grand-cherokee/7836356571.html
Dodge,SUPER BEE,4250,2004,212000,automatic,pickup,Unknown,8,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-2004-dodge-ram-1500-slt-quad/7836355440.html
Nissan,rogue,2200,2008,157103,automatic,SUV,good,Unknown,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-2008-nissan-rogue/7836355419.html
Nissan,rogue,5000,2009,201000,automatic,pickup,good,6,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/happy-valley-2009-nissan-frontier-crew/7836354486.html
Cadillac,dts,3600,2008,143658,automatic,sedan,good,8,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-2008-cadillic-dts-v8-powerfull/7836354237.html
Toyota,prius,2699,2000,195000,automatic,sedan,Unknown,Unknown,gas,Unknown,rebuilt,https://portland.craigslist.org/clc/cto/d/beavercreek-2000-toyota-camry-gas-saver/7836353312.html
Nissan,rogue,4200,2008,93750,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://portland.craigslist.org/clk/cto/d/vancouver-2008-nissan-versa/7836352919.html
Toyota,prius,5000,2009,150000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-2009-toyota-corolla/7836352224.html
Dodge,SUPER BEE,6800,1995,289572,automatic,pickup,good,6,diesel,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-1995-dodge-ram-2500-lifted-4x4/7836351830.html
Dodge,SUPER BEE,49500,2014,120064,automatic,pickup,good,Unknown,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-2014-dodge-ram-promaster-2500/7836351771.html
Ford,F250 extended cab,3400,2005,178760,automatic,Unknown,excellent,Unknown,gas,Unknown,clean,https://portland.craigslist.org/clc/cto/d/canby-2005-ford-freestyle-sel-awd/7836350450.html
Toyota,prius,6900,2007,143000,automatic,minivan,good,Unknown,gas,Unknown,clean,https://portland.craigslist.org/clc/cto/d/clackamas-2007-toyota-sienna-limited/7836345325.html
Chevrolet,silverado 1500,38000,2019,84000,automatic,pickup,like new,8,gas,3GCUYDED2KG261223,clean,https://portland.craigslist.org/mlt/cto/d/gresham-2019-chevrolet-silverado-1500-lt/7836343586.html
Bmw,x5 3.0i,8900,2008,142000,automatic,wagon,like new,6,gas,Unknown,clean,https://portland.craigslist.org/clk/cto/d/la-center-2008-bmw-328xi-wagon/7836343310.html
Hyundai,elantra gls,6850,2006,38523,automatic,sedan,like new,4,gas,KMHDN46D16U370827,clean,https://portland.craigslist.org/clc/cto/d/clackamas-2006-hyundai-elantra-gls/7836342937.html
Subaru,forester xt,3100,2013,213000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://portland.craigslist.org/clc/cto/d/canby-2013-subaru-outback-premium-25/7836342534.html
Kia,sportage lx,10500,2018,28500,automatic,SUV,excellent,4,gas,Unknown,rebuilt,https://portland.craigslist.org/mlt/cto/d/portland-2018-kia-sportage-lx/7836341348.html
Hyundai,elantra gls,5900,2013,110200,automatic,sedan,excellent,4,gas,Unknown,rebuilt,https://portland.craigslist.org/mlt/cto/d/portland-2013-hyundai-sonata-gls/7836341243.html
Subaru,forester xt,7900,2014,74800,automatic,hatchback,good,4,gas,Unknown,rebuilt,https://portland.craigslist.org/mlt/cto/d/portland-2014-subaru-impreza-limited/7836341147.html
Nissan,rogue,12500,2019,90900,automatic,SUV,excellent,6,gas,Unknown,clean,https://portland.craigslist.org/mlt/cto/d/portland-2019-nissan-pathfinder-sv/7836340738.html
Freightliner,Cascadia 125,45000,2015,380200,manual,truck,good,Unknown,diesel,Unknown,rebuilt,https://portland.craigslist.org/mlt/cto/d/portland-2015-freightliner-cascadia-for/7836340124.html
Ford,F250 extended cab,25000,1970,100000,automatic,Unknown,good,8,gas,0A48M177663,clean,https://portland.craigslist.org/wsc/cto/d/sherwood-1970-ford-ranchero-gt/7836339159.html
Honda,Civic,14999,2020,49200,automatic,SUV,excellent,4,gas,Unknown,rebuilt,https://portland.craigslist.org/mlt/cto/d/portland-2020-honda-hr-sport-awd/7836335143.html
Ford,F250 extended cab,22000,1972,100000,automatic,Unknown,good,8,gas,2A48H274992,clean,https://portland.craigslist.org/wsc/cto/d/sherwood-1972-ford-ranchero-gt/7836333483.html
Nissan,rogue,700,2003,212000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://portland.craigslist.org/wsc/cto/d/cornelius-03-nissan-pathfinder/7836332787.html
Chevrolet,silverado 1500,15000,1980,100000,automatic,coupe,good,8,gas,Unknown,clean,https://portland.craigslist.org/clk/cto/d/randle-beautiful-1980-camaro/7836331240.html
