Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Ford,f450 super duty,19000,2013,105000,automatic,Unknown,good,Unknown,diesel,Unknown,salvage,https://sandiego.craigslist.org/csd/cto/d/spring-valley-2013-ford-f450-service/7836449788.html
Chevrolet,corvette,6500,1994,161,automatic,coupe,excellent,8,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-th-addition-corvette/7836448739.html
Tesla,Unknown,19950,2016,112500,automatic,Unknown,excellent,Unknown,electric,Unknown,clean,https://sandiego.craigslist.org/nsd/cto/d/el-toro-2016-tesla-model-90d-x90d-90/7836446040.html
Bmw,335i,18000,2007,143000,manual,Unknown,excellent,6,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/del-mar-rare-e92-bmw-335i-manual/7836445069.html
Mercedes,benz e350 4matic,2999,2012,200000,automatic,SUV,Unknown,6,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/santee-2008-mercedes-benz-gas-saver/7836444974.html
Mercedes-Benz,GLE450 4MATIC / GLE450 4-M Turbo,72000,2024,13000,automatic,SUV,like new,6,gas,4JGFB5KB2RB144808,clean,https://sandiego.craigslist.org/nsd/cto/d/oceanside-mercedes-benz-2024-gle-450w4/7836443615.html
Bmw,335i,9950,2013,62000,automatic,SUV,excellent,Unknown,gas,Unknown,clean,https://sandiego.craigslist.org/nsd/cto/d/el-toro-2013-bmw-x1-sdrive28i-sport-low/7836442258.html
Chevy,tahoe,2500,2003,198000,automatic,SUV,good,8,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/bonita-2003-chevy-tahoe/7836441509.html
Dodge,grand caravan,8900,2019,106000,automatic,van,excellent,6,gas,Unknown,clean,https://sandiego.craigslist.org/ssd/cto/d/san-diego-2019-dodge-gran-caravan/7836441001.html
Ford,f450 super duty,1500,1989,63511,automatic,van,good,8,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/encinitas-ford-250-econoline-mechanics/7836440986.html
Bmw,335i,5400,2003,122000,automatic,convertible,excellent,6,gas,WBABS33463PG90531,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-2003-bmw-325ci-convertible/7836440574.html
Chevy,tahoe,8900,2002,182000,automatic,SUV,excellent,8,gas,Unknown,clean,https://sandiego.craigslist.org/nsd/cto/d/oceanside-2002-chevrolet-tahoe-garage/7836439699.html
El,camino,19500,1973,122000,automatic,pickup,like new,8,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-show-ready-1973-el-camino-350/7836439513.html
Audi,A5 Premium Plus Quattro,5500,2010,111000,automatic,coupe,excellent,4,gas,WAULFAFR8AA046420,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-2010-audi-a5-quattro-smogged/7836435560.html
Toyota,Unknown,5700,2005,175000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://sandiego.craigslist.org/esd/cto/d/el-cajon-2005-toyota-corolla-matrix-xr/7836434972.html
Lexus,LS 400,2100,1998,193000,automatic,sedan,good,8,gas,JT8BH28F0W0115436,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-1998-lexus-ls400/7836434478.html
Chevy,tahoe,9900,2014,123000,automatic,truck,excellent,8,gas,Unknown,salvage,https://sandiego.craigslist.org/csd/cto/d/san-diego-2014-chevy-silverado/7836433579.html
Toyota,Unknown,8500,2008,227000,automatic,SUV,good,6,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-2008-toyota-rav4-limited-v6/7836431019.html
Jaguar,xf,7950,2015,130000,automatic,sedan,excellent,Unknown,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-2015-jaguar-xf-supercharged/7836428726.html
Mini,Convertible Cooper,5700,2009,113100,manual,convertible,good,4,gas,Unknown,clean,https://sandiego.craigslist.org/nsd/cto/d/fallbrook-2009-mini-convertible-cooper/7836428698.html
Cadillac,escalade,38900,2015,100000,automatic,other,Unknown,8,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/santee-help-my-mechanic-to-sell-2015/7836428292.html
Ford,f450 super duty,24500,1930,8900,automatic,coupe,excellent,Unknown,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-1930-ford-model-classic/7836427602.html
Hyndai,accent,1000,2003,119000,manual,Unknown,fair,4,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-2003-hyndai-accent/7836427247.html
Chevrolet,corvette,4200,2011,111000,automatic,Unknown,good,4,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-2011-chevy-aveo/7836427197.html
Volkswagen,jetta,2600,2005,199999,automatic,sedan,Unknown,4,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/santee-jetta-20-runs-great-gas-saver/7836426284.html
Toyota,Unknown,6500,2002,208900,manual,SUV,good,8,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-2002-toyota-sequoia-4x4/7836426145.html
Kia,rio lx,6000,2018,82000,automatic,sedan,good,4,gas,Unknown,clean,https://sandiego.craigslist.org/nsd/cto/d/wildomar-2018-kia-rio-sedan/7836422874.html
Audi,A5 Premium Plus Quattro,10000,2015,91800,automatic,sedan,good,4,diesel,Unknown,clean,https://sandiego.craigslist.org/esd/cto/d/el-cajon-2015-audi-a3-tdi/7836421227.html
Vw,vanagon westfalia,24000,1986,110000,manual,van,excellent,4,gas,Unknown,clean,https://sandiego.craigslist.org/csd/cto/d/san-diego-1986-vanagon-westfalia-for/7836420925.html
