Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Hyundai,sonata 2.0 se,3900,2013,181000,automatic,sedan,Unknown,4,gas,5NPEC4AB0DH634566,clean,https://seattle.craigslist.org/tac/cto/d/tacoma-2013-hyundai-sonata-se-20l/7836445658.html
Honda,civic lx,8000,2010,76282,automatic,sedan,like new,4,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/everett-for-sale/7836442838.html
Toyota,Tundra Limited,7500,2004,191830,automatic,pickup,good,8,gas,5TBRT38194S456278,clean,https://seattle.craigslist.org/tac/cto/d/puyallup-2004-toyota-tundra-access-cab/7836441751.html
Dodge,ram 1500,5500,2003,163000,manual,pickup,Unknown,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/yakima-2003-dodge-ram1500-manual-speed/7836440374.html
Isuzu,pick up,1950,1990,130000,manual,pickup,excellent,4,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/tacoma-1990-isuzu-pickup-low-miles-one/7836440258.html
Hyundai,sonata 2.0 se,5000,2014,140000,automatic,sedan,like new,4,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/bothell-2014-hyundai-elantra-one-owner/7836437987.html
Bmw,x5,7400,2006,176000,automatic,SUV,good,8,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/everett-bmw-x5-48is/7836435799.html
Suzuki,carry,6500,1996,65590,manual,truck,good,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/north-lakewood-1996-suzuki-carry-mini/7836435177.html
Honda,civic lx,6800,2002,64000,automatic,SUV,excellent,4,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/van-nuys-2002-honda-cr-64000xxx/7836432504.html
Chevrolet,Colorado ZR2,41000,2022,41500,automatic,pickup,like new,6,diesel,1GCPTEE17N1132551,lien,https://seattle.craigslist.org/see/cto/d/seattle-2022-colorado-zr2bison-deisel/7836431428.html
Isuzu,pick up,18000,2011,82000,automatic,Unknown,excellent,4,diesel,JALB4W174B7402124,clean,https://seattle.craigslist.org/see/cto/d/seattle-2011-isuzu-14-box-truck-npr/7836429389.html
Dodge,ram 1500,1000,1999,249469,automatic,van,good,8,gas,Unknown,rebuilt,https://seattle.craigslist.org/oly/cto/d/olympia-1999-dodge-van/7836427160.html
Subaru,legacy wagon,3250,1995,179500,manual,wagon,good,4,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/seattle-1995-subaru-legacy-wagon-speed/7836426437.html
Nissan,altima sl,6450,2015,160015,automatic,sedan,excellent,4,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/bonney-lake-2015-nissan-altima-sl-ownwer/7836426319.html
Tesla,y,28500,2020,46900,automatic,sedan,excellent,Unknown,electric,Unknown,clean,https://seattle.craigslist.org/est/cto/d/issaquah-2020-tesla-model-long-range/7836424368.html
Audi,s4,10499,2010,157000,automatic,sedan,excellent,6,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/seattle-2010-audi-s4/7836424290.html
Dodge,ram 1500,1500,1993,145539,automatic,truck,good,8,gas,Unknown,clean,https://seattle.craigslist.org/oly/cto/d/olympia-1993-dodge-1500/7836423221.html
Ford,f350 super duty,19950,2012,250000,automatic,truck,good,8,diesel,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/everett-2012-f350-superduty-truck/7836422775.html
Ford,f350 super duty,10250,2012,181600,automatic,pickup,good,6,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/snohomish-2012-ford-150-super-crew-xlt/7836422391.html
Toyota,Tundra Limited,15900,2014,165000,automatic,van,good,6,gas,Unknown,clean,https://seattle.craigslist.org/see/cto/d/gresham-2014-toyota-sienna-xle-limited/7836419307.html
Ford,f350 super duty,6900,2014,103000,automatic,SUV,good,4,gas,Unknown,rebuilt,https://seattle.craigslist.org/sno/cto/d/marysville-2014-ford-escape-se-ecoboost/7836418752.html
Volkswagen,jetta,3250,2001,142000,automatic,sedan,good,4,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/marysville-2001-jetta-cylinder-miles/7836414547.html
Mercedes,benz 450SEL,6000,1977,173410,automatic,sedan,good,8,gas,Unknown,clean,https://seattle.craigslist.org/sno/cto/d/monroe-mercedes-450-sel/7836413425.html
Dodge,ram 1500,3750,2010,116000,automatic,pickup,good,Unknown,gas,Unknown,clean,https://seattle.craigslist.org/tac/cto/d/tacoma-2010-dodge-ram-1500/7836411150.html
Mazda,6,12100,2017,38600,automatic,sedan,good,4,gas,Unknown,rebuilt,https://seattle.craigslist.org/skc/cto/d/federal-way-2018-mazda/7836411046.html
