Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Toyota,tacoma 4wd,27200,2014,52800,automatic,pickup,excellent,6,gas,Unknown,clean,https://sfbay.craigslist.org/pen/cto/d/belmont-2014-toyota-tacoma-4x4-clean/7835234035.html
Bmw,x5 xdrive35i xdrive35i,9900,2013,137000,automatic,SUV,good,6,gas,Unknown,clean,https://sfbay.craigslist.org/eby/cto/d/albany-2013-bmw-x5-35-awd-packages/7835233777.html
Ford,Unknown,18500,1948,12345,automatic,truck,excellent,8,other,Unknown,clean,https://sfbay.craigslist.org/nby/cto/d/windsor-48-ford-f1-street-legal-drag/7835230875.html
Accura,RDX,18200,2020,40000,automatic,SUV,good,Unknown,gas,Unknown,salvage,https://sfbay.craigslist.org/sby/cto/d/san-jose-2020-acura-rdx-salvage-title/7835229544.html
Ford,Unknown,10500,2004,213310,manual,truck,good,8,diesel,Unknown,clean,https://sfbay.craigslist.org/sby/cto/d/los-gatos-2004-ford-powerstroke-diesel/7835229071.html
Dodge,ram 2500,19500,2002,122000,automatic,truck,excellent,6,diesel,Unknown,clean,https://sfbay.craigslist.org/sby/cto/d/los-gatos-2002-dodge-cummins-diesel-4x4/7835228957.html
Audi,a5 premium quattro,5999,2012,175000,automatic,coupe,excellent,4,gas,Unknown,clean,https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2012-audi-a5-with-sports/7835226042.html
Toyota,tacoma 4wd,24600,2021,40000,automatic,SUV,excellent,Unknown,gas,Unknown,clean,https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2021-toyota-4runner/7835221260.html
Toyota,tacoma 4wd,100,2017,50000,automatic,pickup,excellent,4,gas,Unknown,clean,https://sfbay.craigslist.org/sfc/cto/d/san-francisco-wooden-truck-camper-for/7835219417.html
Chevrolet,stylemaster,22500,1946,10000,manual,coupe,good,6,gas,Unknown,clean,https://sfbay.craigslist.org/nby/cto/d/santa-rosa-1946-chevrolet-stylemaster/7835218834.html
Vw,eurovan mv,12500,2003,74000,automatic,van,good,Unknown,gas,Unknown,clean,https://sfbay.craigslist.org/scz/cto/d/santa-cruz-2003-vw-eurovan-74k-miles/7835215735.html
Auidi,Q5 QUATTRO 2.1,18800,2018,70000,automatic,SUV,excellent,4,gas,Unknown,salvage,https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2018-audi-q5-quattro-1/7835210354.html
Ram,3500,45000,2018,123300,automatic,pickup,good,6,diesel,3C7WR9CL0JG188772,clean,https://sfbay.craigslist.org/nby/cto/d/windsor-2018-ram-x4-diesel-utility/7835207506.html
Toyota,tacoma 4wd,6500,2011,176300,automatic,hatchback,excellent,4,hybrid,Unknown,clean,https://sfbay.craigslist.org/sby/cto/d/san-jose-2011-toyota-prius/7835205334.html
