Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Volvo,s60 2.5t,2500,2005,160000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/falls-church-2005-volvo-s60-25t-awd/7836374415.html
Ford,e150 cargo van,4750,2002,182543,automatic,van,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/oxon-hill-2002-ford-e150-cargo-van-182k/7836370707.html
Toyota,prius,7450,2011,151876,automatic,hatchback,good,4,hybrid,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/alexandria-2011-toyota-prius-151k-miles/7836369714.html
Kia,forte,7200,2016,109278,automatic,sedan,good,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/alexandria-2016-kia-forte-4door-auto/7836368946.html
Buick,verano convenience,2000,2013,220000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/baltimore-2013-buick-verano/7836365214.html
Ford,e150 cargo van,7200,2003,170000,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/falls-church-2003-ford-f150-harley/7836360266.html
Mercedes,Unknown,2600,2001,200000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/falls-church-2001-mercedes-ml-320/7836358801.html
Bmw,x5,14500,2014,86000,automatic,SUV,Unknown,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/herndon-2014-bmw-x5/7836353069.html
Corvette,Unknown,10000,2020,40000,automatic,coupe,Unknown,Unknown,gas,Unknown,parts only,https://washingtondc.craigslist.org/doc/cto/d/washington-2020-corvette/7836347301.html
Toyota,prius,14000,2014,65500,automatic,sedan,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/fairfax-2014-toyota-camry-xle/7836343567.html
Toyota,prius,15900,2016,88612,automatic,sedan,like new,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/fairfax-2016-toyota-camry-hybrid-xle/7836343440.html
Bmw,x5,12000,2015,122000,automatic,SUV,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/sterling-bmw-x5-2015/7836338690.html
Mercedes-Benz,e-class,4500,2007,154000,automatic,sedan,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/leesburg-mercedes-benz/7836333967.html
Gmc,Terrain SUV,7500,2010,106236,automatic,SUV,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/manassas-2010-gmc-terrain-suv-106k/7836330558.html
Ford,e150 cargo van,5500,2013,74000,automatic,hatchback,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/manassas-2013-ford-focus/7836329514.html
Bmw,x5,22000,2008,124000,automatic,coupe,excellent,8,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/springfield-bmw-2008-3/7836325425.html
Acura,tl,2500,2000,101000,automatic,sedan,good,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/chantilly-2000-acura-tl-low-mileage/7836320025.html
Chevrolet,Cruze Eco,3450,2013,168000,automatic,sedan,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/germantown-chevy-cruze-eco-excellent/7836319722.html
Toyota,prius,14950,2012,106278,automatic,pickup,excellent,6,gas,5TFTU4GN5CX021870,rebuilt,https://washingtondc.craigslist.org/nva/cto/d/moseley-2012-tacoma-v6-sr5-access-cab/7836315979.html
Toyota,prius,10500,2014,98213,automatic,sedan,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/springfield-2014-toyota-corolla-le/7836315334.html
Jaguar,xj8,5300,2004,63470,automatic,sedan,excellent,8,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/fredericksburg-jaguar-xj8-2004/7836310756.html
Mazda,3i Sport,4200,2007,143000,automatic,sedan,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/laurel-mazda-3icleanlow-143k/7836310518.html
Ford,e150 cargo van,16900,2010,123000,automatic,truck,good,10,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/thurmont-bucket-truck-ford-550-altec-37g/7836308458.html
Ford,e150 cargo van,6495,2015,141127,automatic,sedan,excellent,6,gas,1FAHP2MK5FG154456,clean,https://washingtondc.craigslist.org/nva/cto/d/moseley-2015-taurus-police-package/7836307182.html
Bmw,x5,20500,2008,123000,manual,Unknown,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/nokesville-2008-bmw-m3/7836301594.html
Toyota,prius,1000,2008,138580,automatic,Unknown,salvage,Unknown,gas,Unknown,salvage,https://washingtondc.craigslist.org/mld/cto/d/silver-spring-parts-car-not-driveable/7836299432.html
Cadillac,lyriq,50000,2024,136,automatic,Unknown,like new,4,electric,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/upper-marlboro-2024-cadillac-lyriq/7836298519.html
Chevy,s10 pickup,3985,2004,186190,automatic,pickup,good,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/sterling-2004-chevy-s10/7836298058.html
Lexus,ES,2800,2000,124844,automatic,sedan,good,6,gas,JT8BF28G6Y0247327,clean,https://washingtondc.craigslist.org/nva/cto/d/burke-2000-lexus-es-300/7836291635.html
Pontiac,g6,1900,2008,220000,automatic,sedan,like new,4,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/silver-spring-pontiac-g6/7836291100.html
Triumph,tr6,17000,1970,45000,manual,convertible,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/purcellville-triumph-tr6-1970/7836286321.html
Toyota,prius,4000,2010,314000,automatic,sedan,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/annandale-toyota-corolla-le-good-local/7836285687.html
Chevrolet,Cruze Eco,1200,2001,207543,automatic,sedan,good,6,gas,2G1WL52J011140651,clean,https://washingtondc.craigslist.org/nva/cto/d/leesburg-2001-chevy-lumina/7836284323.html
Nissan,murano le awd,2200,2009,181514,automatic,SUV,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/brentwood-2009-nissan-murano-le-sport/7836278316.html
Merc,Capri,2750,1992,98000,manual,convertible,good,4,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/hagerstown-merc-capri-hard-top/7836261716.html
Lexus,ES,3000,2002,219500,automatic,sedan,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/lanham-2002-lexus-es-300-sedan-4d/7836242349.html
Nissan,murano le awd,2999,2003,119300,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/laurel-2003-nissan-murano-sl-awd/7836241186.html
Toyota,prius,5500,2006,142061,automatic,Unknown,good,Unknown,other,Unknown,salvage,https://washingtondc.craigslist.org/mld/cto/d/fort-washington-toyota-corolla-ce/7836236336.html
Lincoln,mks awd,5500,2015,215000,automatic,sedan,like new,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/arlington-2015-lincoln-mks/7836227684.html
Toyota,prius,3700,2005,158000,automatic,hatchback,good,Unknown,hybrid,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/burtonsville-04-prius-low-miles-cheap/7836225298.html
Vw,Atlas Sport,32000,2021,42200,automatic,SUV,excellent,Unknown,gas,1V2FE2CA0MC240308,clean,https://washingtondc.craigslist.org/nva/cto/d/alexandria-2021-vw-atlas-sport-in-great/7836218688.html
Infinity,QX56,7500,2011,139583,automatic,SUV,excellent,8,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/montgomery-village-2011-infinity-qx56/7836218400.html
Jeep,wrangler yj,4000,1988,186000,automatic,SUV,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/hyattsville-1988-jeep-wrangler-yj-laredo/7836214878.html
Mercury,Cougar V6 MERCURY COUGAR,Unknown,2000,62420,automatic,hatchback,excellent,6,gas,1ZWHT61L6Y5644499,clean,https://washingtondc.craigslist.org/nva/cto/d/glen-burnie-low-low-miles-best-offer/7836211826.html
Ford,e150 cargo van,17499,2015,145000,automatic,van,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/alexandria-2015-ford-transit-150-van/7836199530.html
Honda,accord sedan,7800,2012,122078,automatic,sedan,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/woodbridge-2012-honda-accord/7836197086.html
Ford,e150 cargo van,19000,1936,1111,automatic,coupe,new,8,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/winchester-1936-ford-3w-coupe-new-jb/7836194390.html
Ford,e150 cargo van,38500,1933,1111,automatic,coupe,like new,8,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/newport-news-1933-ford-steel-5w-coupe/7836188908.html
Bmw,x5,25000,1968,76500,manual,coupe,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/vienna-1968-bmw-1602/7836188222.html
Jeep,wrangler yj,13000,2016,129000,automatic,SUV,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/herndon-2016-jeep-grand-cherokee/7836188119.html
Dodge,grand caravan,11000,2008,139000,automatic,minivan,excellent,Unknown,gas,Unknown,rebuilt,https://washingtondc.craigslist.org/mld/cto/d/burtonsville-2008-dodge-grand-caravan/7836184104.html
Ford,e150 cargo van,3200,2001,255000,automatic,pickup,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/newington-2001-ford-150/7836183995.html
Mercedes-Benz,e-class,4000,1983,160000,automatic,sedan,good,4,diesel,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/alexandria-mercedes-benz/7836183957.html
Alfa,Romeo 1750 Spider Veloce,36000,1969,91000,manual,convertible,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/vienna-1969-alfa-romeo-1750-spider/7836182128.html
Mercedes,Unknown,4000,2008,165000,automatic,SUV,fair,8,gas,4JGBF86EX8A427731,salvage,https://washingtondc.craigslist.org/mld/cto/d/garrett-park-mercedes-gl-550/7836175078.html
Ford,e150 cargo van,19500,2012,93102,automatic,truck,good,8,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/alexandria-2012-ford-450-4x4-landscape/7836171465.html
Buick,verano convenience,9900,1940,57000,manual,sedan,excellent,8,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/potomac-1940-buick-super-sedan-reduced/7836165759.html
Mercedes-Benz,e-class,5000,2006,121000,automatic,convertible,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/washington-mercedes-benz-clk-350/7836164927.html
Honda,accord sedan,4400,2010,150000,automatic,minivan,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/towson-2010-honda-odyssey-van/7836163482.html
Buick,verano convenience,5495,2000,44666,automatic,sedan,excellent,6,gas,2G4WY55J6Y1214553,clean,https://washingtondc.craigslist.org/nva/cto/d/ashburn-2000-buick-century-limited/7836161049.html
Lexus,ES,5950,2008,188000,automatic,SUV,excellent,Unknown,hybrid,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/rockville-2008-lexus-rx400h-hybrid-suv/7836154087.html
Ford,e150 cargo van,46750,2024,600,manual,coupe,like new,8,gas,Unknown,lien,https://washingtondc.craigslist.org/mld/cto/d/silver-spring-2024-mustang-gt/7836153840.html
Bmw,x5,7900,2011,103000,automatic,SUV,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/sterling-2011-bmw-x3-all-wheel-drive/7836153021.html
Ford,e150 cargo van,5000,1989,92500,manual,pickup,fair,8,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/bowie-89-ford-f350-dully-for-sale/7836146137.html
Honda,accord sedan,1500,2000,200000,automatic,sedan,Unknown,4,gas,1HGCG6677YA019393,clean,https://washingtondc.craigslist.org/nva/cto/d/arlington-2000-honda-accord-ex-reliable/7836130074.html
Oldsmobile,442,6500,1971,68000,automatic,Unknown,fair,8,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/springfield-1971-oldsmobile-442-build/7836126494.html
Ford,e150 cargo van,5500,2013,74000,automatic,hatchback,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/manassas-2013-ford-focus/7836123163.html
Hyundai,Sonata,4900,2010,116572,automatic,sedan,excellent,4,gas,5NPET4AC9AH643397,clean,https://washingtondc.craigslist.org/nva/cto/d/falls-church-2010-hyundai-sonata-gls/7836119626.html
Ford,e150 cargo van,15500,2011,137045,automatic,bus,excellent,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/burtonsville-very-nice-shuttle-bus/7836116123.html
Toyota,prius,2900,1999,165500,automatic,sedan,good,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/annandale-1999-toyota-camry-le-for-sale/7836112775.html
Ford,e150 cargo van,3000,2007,130000,manual,coupe,like new,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/arlington-2007-ford-focus-se/7836101909.html
Audi,a6 3.2 quattro,5500,2006,120000,automatic,sedan,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/woodbridge-audi-a6-quattro/7836099571.html
Toyota,prius,12900,2016,142000,automatic,SUV,good,4,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/silver-spring-2016-toyota-rav4-xle-awd/7836099531.html
Ford,e150 cargo van,12900,2007,33000,automatic,bus,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/springfield-2007-ford-e45014-passenger/7836079445.html
Nissan,murano le awd,7900,2008,103239,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/towson-2008-nissan-frontier-se-pick-up/7836075115.html
Pontiac,g6,2100,2008,220000,automatic,sedan,like new,4,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/silver-spring-pontiac-g6/7836070151.html
Toyota,prius,5500,2009,247200,automatic,sedan,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/bowie-2009-toyota-camry-xle-fully-loaded/7836066961.html
Ford,e150 cargo van,10000,2007,189000,automatic,truck,Unknown,6,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/hyattsville-2007-ford-e450-with-new/7836052553.html
Ford,e150 cargo van,21500,2019,98000,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/capitol-heights-2019-ford-f150-xlt/7836043237.html
Mini,countryman cooper s all4,7900,2012,106000,automatic,hatchback,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/sterling-2012-mini-cooper-countryman/7836042118.html
Ford,e150 cargo van,6200,2014,155012,automatic,sedan,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/alexandria-ford-fusion-energi-plug-in/7836040989.html
Chrysler,200 S,5900,2013,94770,automatic,sedan,excellent,6,gas,1C3CCBBG0DN738095,clean,https://washingtondc.craigslist.org/nva/cto/d/brandywine-2013-chrysler-200/7836040503.html
Ford,e150 cargo van,5600,2014,114000,automatic,hatchback,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/rockville-2014-ford-focus/7836039501.html
Gmc,Terrain SUV,5995,2012,247000,automatic,truck,good,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/rockville-2012-gmc-savana-box-truck-in/7836038639.html
Chrysler,200 S,1600,2003,180110,automatic,minivan,Unknown,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/alexandria-2003-chrysler-voyager-24/7836035446.html
Mack,vision,33000,2003,790000,manual,Unknown,Unknown,Unknown,diesel,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/purcellville-mack-vision-2003/7836025754.html
Gmc,Terrain SUV,9400,2007,213000,manual,truck,Unknown,6,diesel,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/haymarket-2007-gmc-18ft-box-truck/7836018283.html
Nissan,murano le awd,4800,2012,100000,automatic,sedan,good,4,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/washington-2012-nissan-altima-for-sale/7836003958.html
Buick,verano convenience,8000,2000,91467,automatic,sedan,good,6,gas,1G4HR54K0YU118079,clean,https://washingtondc.craigslist.org/nva/cto/d/mc-lean-2000-buick-lesabre-limited/7835981850.html
Toyota,prius,1700,2005,254000,automatic,minivan,fair,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/dumfries-2005-toyota-sienna-le/7835975819.html
Honda,accord sedan,4000,2005,190000,automatic,SUV,fair,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/potomac-accura-mdx-year-2005/7835974371.html
Chevy,s10 pickup,1,2012,146000,automatic,SUV,good,8,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/capitol-heights-2012-chevy-tahoe-police/7835966962.html
Toyota,prius,5500,2011,184717,automatic,sedan,good,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/springfield-2011-toyota-camry/7835959681.html
Mercedes-Benz,e-class,20000,2017,49500,automatic,sedan,excellent,4,gas,WDDZF4KB9HA022084,clean,https://washingtondc.craigslist.org/mld/cto/d/bethesda-2017-e300-mercedes-49k-miles/7835955839.html
Honda,accord sedan,31000,2022,14500,automatic,SUV,like new,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/springfield-2022-cr-15t-awd-ex/7835951614.html
Volvo,s60 2.5t,1500,2006,188000,automatic,sedan,good,5,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/columbia-06-volvo-s80/7835951226.html
Toyota,prius,6000,2011,88479,automatic,sedan,good,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/manassas-2011-toyota-carolla-le/7835950012.html
Toyota,prius,4000,2005,218000,automatic,minivan,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/laurel-2005-toyota-sienna-ce-218k/7835948534.html
Subaru,forester,5500,2014,135999,automatic,wagon,good,4,gas,Unknown,rebuilt,https://washingtondc.craigslist.org/mld/cto/d/burtonsville-2014-subaru-forester-md/7835945361.html
Ford,e150 cargo van,7900,2015,90000,other,Unknown,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/manassas-2015-ford-transit-connect-90k/7835944520.html
Tesla,3 Highland,37500,2024,6200,automatic,sedan,excellent,Unknown,electric,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/mc-lean-tesla-model-highland-2024/7835939013.html
Jeep,wrangler yj,34000,2006,38600,automatic,offroad,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/gainesville-2006-jeep-lj-ljr-tj/7835929765.html
Cadillac,lyriq,8000,2011,107000,automatic,SUV,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/clifton-2011-cadillac-srx/7835928733.html
Honda,accord sedan,7000,2006,194000,automatic,SUV,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/herndon-honda-pilot-2006/7835918922.html
Toyota,prius,8800,2014,152500,automatic,hatchback,excellent,Unknown,hybrid,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/potomac-toyota-prius-2014/7835917955.html
Tesla,3 Highland,19800,2020,47500,other,sedan,excellent,Unknown,electric,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/bethesda-letting-go-of-beauty-2020/7835917220.html
Toyota,prius,8000,2009,108781,automatic,sedan,good,4,gas,1NXBU40E29Z036662,clean,https://washingtondc.craigslist.org/nva/cto/d/vienna-2009-toyota-corolla-le/7835906201.html
Jaguar,xj8,6500,2001,73303,automatic,sedan,excellent,8,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/washington-2001-jaguar-xj8/7835903916.html
Chrysler,200 S,6500,2007,93145,automatic,sedan,excellent,6,gas,2C3KA43R77H869227,clean,https://washingtondc.craigslist.org/nva/cto/d/centreville-2007-chrysler-300-sdn-v6/7835901206.html
Fiat,500 Pop,6750,2014,66322,automatic,hatchback,like new,4,gas,3C3CFFAR8ET293365,clean,https://washingtondc.craigslist.org/nva/cto/d/springfield-2015-fiat-only-66k-clean/7835900630.html
Nissan,murano le awd,6700,2010,149900,automatic,SUV,excellent,6,gas,JN8AZ1MW0AW130474,clean,https://washingtondc.craigslist.org/nva/cto/d/centreville-2010-nissan-murano-sl-awd/7835898412.html
Cadillac,lyriq,7900,2013,108960,automatic,sedan,excellent,6,gas,1G6AH5S38D0135463,clean,https://washingtondc.craigslist.org/nva/cto/d/centreville-2013-cadillac-ats-luxury-awd/7835897227.html
Mack,vision,40000,2004,469270,manual,truck,good,Unknown,diesel,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/alexandria-2004-mack-granite-cv713-dump/7835895151.html
Acura,tl,10950,2013,121000,automatic,SUV,excellent,6,gas,5J8TB3H33DL001642,clean,https://washingtondc.craigslist.org/nva/cto/d/mc-lean-2013-acura-rdx-impeccably/7835890388.html
Toyota,prius,25000,2015,47900,automatic,SUV,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/potomac-2015-highlander-platinum/7835885001.html
Audi,a6 3.2 quattro,15999,2011,55000,automatic,convertible,like new,6,gas,WAUVGAFH6BN013195,clean,https://washingtondc.craigslist.org/nva/cto/d/falls-church-2011-audi-s5-30t-prestige/7835872796.html
Honda,accord sedan,7500,2008,125000,automatic,Unknown,good,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/arlington-2008-honda-civic/7835871869.html
Ram,1500,41000,2022,33617,automatic,pickup,excellent,8,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/centreville-2022-ram-wd-fully-loaded/7835868992.html
Honda,accord sedan,4500,2006,246000,automatic,pickup,fair,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/woodbridge-honda-ridgeline/7835861227.html
Dodge,grand caravan,2000,2014,250000,automatic,sedan,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/waldorf-dodge-charger/7835858718.html
Ford,e150 cargo van,8500,2013,134000,automatic,Unknown,good,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/woodbridge-15-passenger-ford-350/7835857888.html
Honda,accord sedan,1000,2008,110000,automatic,sedan,good,4,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/laurel-2008-silver-honda-accord/7835850806.html
Chevy,s10 pickup,6300,2005,198000,automatic,SUV,good,8,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/herndon-suburban-2005/7835844889.html
Pontiac,g6,2100,2008,220000,automatic,sedan,like new,4,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/silver-spring-pontiac-g6/7835843997.html
Isuzu,truck,9999,1994,228000,automatic,truck,good,Unknown,diesel,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/columbia-isuzu-box-truck/7835843465.html
International,MA025 DuraStar 4300,15000,2012,277584,automatic,truck,fair,8,diesel,1HTMMAAL2CH451864,clean,https://washingtondc.craigslist.org/nva/cto/d/amissville-2012-international-box-truck/7835837284.html
Jaguar,xj8,6000,2011,82000,automatic,sedan,like new,8,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/silver-spring-2011-jaguar-xf-premium/7835832627.html
Honda,accord sedan,6495,2009,171000,automatic,sedan,good,4,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/washington-2009-honda-civic-dx-door/7835831319.html
Jeep,wrangler yj,5000,2003,204453,automatic,SUV,good,6,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/hyattsville-2003-jeep-wrangler/7835827558.html
Jeep,wrangler yj,15000,2015,165000,manual,SUV,good,6,gas,Unknown,rebuilt,https://washingtondc.craigslist.org/nva/cto/d/bristow-2015-jeep-wrangler-unlimited/7835822349.html
Hyundai,Sonata,10000,2020,98825,automatic,sedan,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/ashburn-2020-hyundai-elantra-sel/7835820598.html
Plymouth,Volare,5000,1980,100000,automatic,coupe,good,6,gas,HL29CAB121842,clean,https://washingtondc.craigslist.org/nva/cto/d/amissville-1980-plymouth-volare/7835817941.html
Honda,accord sedan,8400,2011,143961,automatic,minivan,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/ashburn-2011-honda-odyssey-ex/7835816517.html
Toyota,prius,3800,2000,94000,automatic,sedan,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/alexandria-2000-toyota-camry-94-only/7835815957.html
Volvo,s60 2.5t,8300,2014,115433,automatic,SUV,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/ashburn-2014-volvo-xc90-premium-fully/7835814884.html
Kia,forte,11000,2021,102748,automatic,sedan,like new,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/ashburn-2021-kia-forte-lxs-like-new/7835813430.html
Toyota,prius,7000,2010,155910,automatic,sedan,excellent,4,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/ashburn-2010-toyota-corolla/7835812097.html
Bmw,x5,16500,2004,119120,manual,convertible,excellent,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/ashburn-2004-bmw-m3-super-clean/7835808258.html
Hummer,Unknown,6200,2004,240000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/nva/cto/d/falls-church-2004-h2-hammer/7835807999.html
Jeep,wrangler yj,19000,1990,87296,automatic,SUV,good,8,gas,1J4GS5873LP502286,clean,https://washingtondc.craigslist.org/nva/cto/d/middleburg-classic-1990-jeep-grand/7835807429.html
Infiniti,qx50,20000,2023,6000,automatic,SUV,like new,6,gas,Unknown,clean,https://washingtondc.craigslist.org/doc/cto/d/washington-2023-infiniti-qx50/7835803844.html
Chevrolet,Cruze Eco,8300,2014,196000,automatic,van,excellent,6,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/riverdale-for-sale-chevrolet-express/7835801020.html
Dodge,grand caravan,3000,2002,167500,automatic,pickup,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/bowie-2002-dodge-ram1500/7835798805.html
Nissan,murano le awd,2400,2004,156000,automatic,minivan,Unknown,Unknown,gas,Unknown,clean,https://washingtondc.craigslist.org/mld/cto/d/bowie-2004-nissan-quest-se/7835798433.html
