Brand,Model,Price,Year,Mileage,Transmission,Body Type,Condition,Cylinders,Fuel Type,VIN,Title Status,Link
Mercedes-Benz,E550,6500,2010,147000,automatic,sedan,excellent,8,gas,WDDHF7CB8AA046152,clean,https://losangeles.craigslist.org/lgb/cto/d/el-toro-mercedes-benz-e550-sport/7832873636.html
Ford,edge sel,5999,2013,121,automatic,SUV,excellent,6,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/cto/d/granada-hills-2013-ford-edge/7832873251.html
Ram,1500 Rebel,46928,2022,23654,automatic,pickup,excellent,8,gas,1C6SRFLT5NN130753,clean,https://losangeles.craigslist.org/wst/ctd/d/redondo-beach-2022-ram-x4-4wd-truck/7832873219.html
Toyota,Sienna CE,2900,2002,164646,automatic,minivan,excellent,6,gas,4T3ZF19C52U434776,clean,https://losangeles.craigslist.org/lac/cto/d/los-angeles-2002-toyota-sienna-ce-164k/7832872906.html
Nissan,versa,350,2020,102000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/wst/cto/d/los-angeles-nissan-versa-for-rent/7832872714.html
Kia,Forte 5-Door EX,11995,2016,40836,automatic,hatchback,excellent,4,gas,KNAFX5A80G5503710,clean,https://losangeles.craigslist.org/wst/ctd/d/redondo-beach-2016-kia-forte-door-ex/7832872595.html
Ford,EcoSport SE,17495,2022,14157,automatic,SUV,excellent,4,gas,MAJ6S3GL5NC474608,clean,https://losangeles.craigslist.org/wst/ctd/d/redondo-beach-2022-ford-ecosport-4x4/7832872562.html
Bmw,650i,6500,2009,105000,automatic,coupe,excellent,8,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/pasadena-2009-bmw-650i-white-black-only/7832871888.html
Mercedes-Benz,CLA CLA 250,16995,2018,61089,automatic,sedan,excellent,4,gas,WDDSJ4EB0JN541454,clean,https://losangeles.craigslist.org/wst/ctd/d/redondo-beach-2018-mercedes-benz-cla/7832871892.html
Land,rover range rover supercharged,16000,2015,100644,automatic,SUV,excellent,8,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/pasadena-2015-land-rover-range-rover/7832871552.html
Mercedes-Benz,GLB GLB 250,37495,2024,9204,automatic,SUV,excellent,4,gas,W1N4M4GB7RW377240,clean,https://losangeles.craigslist.org/wst/ctd/d/redondo-beach-2024-mercedes-benz-glb/7832871311.html
Bmw,X1 xDrive28i,15495,2017,66218,automatic,SUV,excellent,4,gas,WBXHT3Z38H4A65181,clean,https://losangeles.craigslist.org/wst/ctd/d/redondo-beach-2017-bmw-x1-awd-all-wheel/7832871276.html
Honda,civic,15500,2018,43000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/sfv/cto/d/santa-clarita-2018-civic-43xxx-original/7832871146.html
Kia,forte,350,2015,102000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/wst/cto/d/los-angeles-kia-forte-for-rent/7832870943.html
Jaguar,XK8,8500,2001,82100,automatic,convertible,excellent,4,gas,SAJDA42C61NA22395,clean,https://losangeles.craigslist.org/wst/cto/d/santa-monica-jaguar-2001-xk8/7832870558.html
Tesla,Model 3,20995,2022,31647,automatic,sedan,Unknown,Unknown,electric,5YJ3E1EB5NF135353,clean,https://losangeles.craigslist.org/lac/ctd/d/norco-2022-tesla-model-long-range-sedan/7832869977.html
Honda,Ridgeline Black Edition,35290,2022,21757,automatic,pickup,excellent,6,gas,5FPYK3F86NB021642,clean,https://losangeles.craigslist.org/lgb/ctd/d/long-beach-2022-honda-ridgeline-awd-all/7832869815.html
Volkswagen,jetta wagon,3000,2009,160756,automatic,wagon,good,4,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/pasadena-2009-volkswagen-jetta-wagon/7832869589.html
Porsche,cayenne platinum edition,7700,2010,136076,automatic,SUV,good,6,gas,Unknown,clean,https://losangeles.craigslist.org/sgv/cto/d/pasadena-2010-porsche-cayenne-tiptronic/7832869481.html
Hyundai,elantra,350,2014,102000,automatic,Unknown,Unknown,Unknown,gas,Unknown,clean,https://losangeles.craigslist.org/wst/cto/d/los-angeles-hyundai-elantra/7832869366.html
